FID,Id,ORIG_FID,Id_1,typ,x,y
115,0,0,0,mark,49.8809013,-275.1459961
116,0,0,0,mark,50.1534996,-273.7829895
117,0,0,0,mark,50.4262009,-272.4190063
118,0,0,0,mark,50.6987991,-271.0559998
119,0,0,0,mark,50.9714012,-269.6929932
120,0,0,0,mark,51.2439995,-268.3299866
121,0,0,0,mark,51.5166016,-266.9670105
122,0,0,0,mark,51.7892990,-265.6040039
123,0,0,0,mark,52.0619011,-264.2409973
124,0,0,0,mark,52.3344994,-262.8779907
125,0,0,0,mark,52.6071014,-261.5150146
126,0,0,0,mark,52.8796997,-260.1520081
127,0,0,0,mark,53.1524010,-258.7879944
128,0,0,0,mark,53.4249992,-257.4249878
129,0,0,0,mark,53.6976013,-256.0620117
130,0,0,0,mark,53.9701996,-254.6990051
131,0,0,0,mark,54.2428017,-253.3359985
132,0,0,0,mark,54.5154991,-251.9730072
133,0,0,0,mark,54.7773018,-250.6080017
134,0,0,0,mark,55.0168991,-249.2389984
135,0,0,0,mark,55.2565002,-247.8690033
136,0,0,0,mark,55.4962006,-246.5000000
137,0,0,0,mark,55.7358017,-245.1309967
138,0,0,0,mark,55.9753990,-243.7610016
139,0,0,0,mark,56.2150002,-242.3919983
140,0,0,0,mark,56.4547005,-241.0229950
141,0,0,0,mark,56.6943016,-239.6540070
142,0,0,0,mark,56.9338989,-238.2839966
143,0,0,0,mark,57.1735001,-236.9149933
144,0,0,0,mark,57.4132004,-235.5460052
145,0,0,0,mark,57.6528015,-234.1759949
146,0,0,0,mark,57.8923988,-232.8070068
147,0,0,0,mark,58.1320000,-231.4380035
148,0,0,0,mark,58.3717003,-230.0690002
149,0,0,0,mark,58.6113014,-228.6990051
150,0,0,0,mark,58.8508987,-227.3300018
151,0,0,0,mark,59.0904999,-225.9609985
152,0,0,0,mark,59.3302002,-224.5910034
153,0,0,0,mark,59.5698013,-223.2220001
154,0,0,0,mark,59.8093987,-221.8529968
155,0,0,0,mark,60.0489998,-220.4839935
156,0,0,0,mark,60.2887001,-219.1139984
157,0,0,0,mark,60.5283012,-217.7449951
158,0,0,0,mark,60.7678986,-216.3760071
159,0,0,0,mark,61.0074997,-215.0059967
160,0,0,0,mark,61.2472000,-213.6369934
161,0,0,0,mark,61.4603004,-212.2640076
162,0,0,0,mark,61.6492996,-210.8869934
163,0,0,0,mark,61.8384018,-209.5090027
164,0,0,0,mark,62.0274010,-208.1320038
165,0,0,0,mark,62.2164001,-206.7550049
166,0,0,0,mark,62.4053993,-205.3780060
167,0,0,0,mark,62.5945015,-204.0010071
168,0,0,0,mark,62.7835007,-202.6230011
169,0,0,0,mark,62.9724998,-201.2460022
170,0,0,0,mark,63.1614990,-199.8690033
171,0,0,0,mark,63.3506012,-198.4920044
172,0,0,0,mark,63.5396004,-197.1150055
173,0,0,0,mark,63.7285995,-195.7380066
174,0,0,0,mark,63.9175987,-194.3600006
175,0,0,0,mark,64.1066971,-192.9830017
176,0,0,0,mark,64.2957001,-191.6060028
177,0,0,0,mark,64.4847031,-190.2290039
178,0,0,0,mark,64.6736984,-188.8520050
179,0,0,0,mark,64.8628006,-187.4739990
180,0,0,0,mark,65.0518036,-186.0970001
181,0,0,0,mark,65.2407990,-184.7200012
182,0,0,0,mark,65.4298019,-183.3430023
183,0,0,0,mark,65.6188965,-181.9660034
184,0,0,0,mark,65.8078995,-180.5890045
185,0,0,0,mark,65.9969025,-179.2109985
186,0,0,0,mark,66.1858978,-177.8339996
187,0,0,0,mark,66.3750000,-176.4570007
188,0,0,0,mark,66.5640030,-175.0800018
189,0,0,0,mark,66.7529984,-173.7030029
190,0,0,0,mark,66.9420013,-172.3249969
191,0,0,0,mark,67.1311035,-170.9479980
192,0,0,0,mark,67.3200989,-169.5709991
193,0,0,0,mark,67.5091019,-168.1940002
194,0,0,0,mark,67.6980972,-166.8170013
195,0,0,0,mark,67.8871994,-165.4389954
196,0,0,0,mark,68.0798035,-164.0630035
197,0,0,0,mark,68.2820969,-162.6880035
198,0,0,0,mark,68.4842987,-161.3119965
199,0,0,0,mark,68.6865997,-159.9369965
200,0,0,0,mark,68.8888016,-158.5619965
201,0,0,0,mark,69.0911026,-157.1860046
202,0,0,0,mark,69.2932968,-155.8110046
203,0,0,0,mark,69.4955978,-154.4360046
204,0,0,0,mark,69.6977997,-153.0599976
205,0,0,0,mark,69.9001007,-151.6849976
206,0,0,0,mark,70.1023026,-150.3099976
207,0,0,0,mark,70.3046036,-148.9340057
208,0,0,0,mark,70.5067978,-147.5590057
209,0,0,0,mark,70.7090988,-146.1840057
210,0,0,0,mark,70.9113007,-144.8090057
211,0,0,0,mark,71.1136017,-143.4329987
212,0,0,0,mark,71.3158035,-142.0579987
213,0,0,0,mark,71.5180969,-140.6829987
214,0,0,0,mark,71.7202988,-139.3070068
215,0,0,0,mark,71.9225998,-137.9320068
216,0,0,0,mark,72.1248016,-136.5570068
217,0,0,0,mark,72.3271027,-135.1809998
218,0,0,0,mark,72.5294037,-133.8059998
219,0,0,0,mark,72.7315979,-132.4309998
220,0,0,0,mark,72.9115982,-131.0529938
221,0,0,0,mark,73.0839996,-129.6730042
222,0,0,0,mark,73.2564011,-128.2940063
223,0,0,0,mark,73.4288025,-126.9140015
224,0,0,0,mark,73.6011963,-125.5350037
225,0,0,0,mark,73.7736969,-124.1559982
226,0,0,0,mark,73.9460983,-122.7760010
227,0,0,0,mark,74.1184998,-121.3970032
228,0,0,0,mark,74.2909012,-120.0179977
229,0,0,0,mark,74.4633026,-118.6380005
230,0,0,0,mark,74.6358032,-117.2590027
231,0,0,0,mark,74.8081970,-115.8799973
232,0,0,0,mark,74.9805984,-114.5000000
233,0,0,0,mark,75.1529999,-113.1210022
234,0,0,0,mark,75.3254013,-111.7419968
235,0,0,0,mark,75.4979019,-110.3619995
236,0,0,0,mark,75.6703033,-108.9830017
237,0,0,0,mark,75.8426971,-107.6029968
238,0,0,0,mark,76.0150986,-106.2239990
239,0,0,0,mark,76.1875000,-104.8450012
240,0,0,0,mark,76.3600006,-103.4649963
241,0,0,0,mark,76.5324020,-102.0859985
242,0,0,0,mark,76.6340027,-100.7009964
243,0,0,0,mark,76.7001038,-99.3119965
244,0,0,0,mark,76.7661972,-97.9235001
245,0,0,0,mark,76.8322983,-96.5350037
246,0,0,0,mark,76.8984985,-95.1464005
247,0,0,0,mark,76.9645996,-93.7578964
248,0,0,0,mark,77.0307007,-92.3694000
249,0,0,0,mark,77.0968018,-90.9809036
250,0,0,0,mark,77.1629028,-89.5923004
251,0,0,0,mark,77.2291031,-88.2037964
252,0,0,0,mark,77.2951965,-86.8153000
253,0,0,0,mark,77.3612976,-85.4268036
254,0,0,0,mark,77.4273987,-84.0382996
255,0,0,0,mark,77.4934998,-82.6496964
256,0,0,0,mark,77.7105026,-81.3005981
257,0,0,0,mark,78.3321991,-80.0572968
258,0,0,0,mark,78.9537964,-78.8140030
259,0,0,0,mark,79.5755005,-77.5706024
260,0,0,0,mark,80.1971970,-76.3273010
261,0,0,0,mark,80.8823013,-76.7362976
262,0,0,0,mark,81.5975037,-77.9282990
263,0,0,0,mark,82.3126984,-79.1203003
264,0,0,0,mark,83.0279007,-80.3123016
265,0,0,0,mark,83.7431030,-81.5042038
266,0,0,0,mark,84.4582977,-82.6962967
267,0,0,0,mark,85.1735001,-83.8881989
268,0,0,0,mark,85.8887024,-85.0802002
269,0,0,0,mark,86.4126968,-86.3601990
270,0,0,0,mark,86.8523026,-87.6789017
271,0,0,0,mark,87.2919006,-88.9977036
272,0,0,0,mark,87.7314987,-90.3164978
273,0,0,0,mark,88.1709976,-91.6352005
274,0,0,0,mark,88.6106033,-92.9540024
275,0,0,0,mark,89.0502014,-94.2726974
276,0,0,0,mark,89.4897995,-95.5914993
277,0,0,0,mark,89.9293976,-96.9102020
278,0,0,0,mark,90.3690033,-98.2289963
279,0,0,0,mark,90.8086014,-99.5477982
280,0,0,0,mark,91.2481003,-100.8669968
281,0,0,0,mark,91.6876984,-102.1849976
282,0,0,0,mark,92.1272964,-103.5039978
283,0,0,0,mark,92.5669022,-104.8229980
284,0,0,0,mark,93.0065002,-106.1419983
285,0,0,0,mark,93.4460983,-107.4599991
286,0,0,0,mark,93.8856964,-108.7789993
287,0,0,0,mark,94.3253021,-110.0979996
288,0,0,0,mark,94.7648010,-111.4169998
289,0,0,0,mark,95.2043991,-112.7350006
290,0,0,0,mark,95.6439972,-114.0540009
291,0,0,0,mark,96.0836029,-115.3730011
292,0,0,0,mark,96.5232010,-116.6920013
293,0,0,0,mark,96.9627991,-118.0100021
294,0,0,0,mark,97.4023972,-119.3290024
295,0,0,0,mark,98.0123978,-120.5729980
296,0,0,0,mark,98.6915970,-121.7850037
297,0,0,0,mark,99.3707962,-122.9980011
298,0,0,0,mark,100.0500031,-124.2109985
299,0,0,0,mark,100.7289963,-125.4240036
300,0,0,0,mark,101.4079971,-126.6370010
301,0,0,0,mark,102.0879974,-127.8499985
302,0,0,0,mark,102.7669983,-129.0630035
303,0,0,0,mark,103.4459991,-130.2749939
304,0,0,0,mark,104.1250000,-131.4880066
305,0,0,0,mark,104.8040009,-132.7010040
306,0,0,0,mark,105.4840012,-133.9140015
307,0,0,0,mark,106.1630020,-135.1269989
308,0,0,0,mark,106.8420029,-136.3399963
309,0,0,0,mark,107.5210037,-137.5529938
310,0,0,0,mark,108.2009964,-138.7660065
311,0,0,0,mark,108.8799973,-139.9779968
312,0,0,0,mark,109.5589981,-141.1909943
313,0,0,0,mark,110.2379990,-142.4040070
314,0,0,0,mark,110.9189987,-143.6159973
315,0,0,0,mark,111.6200027,-144.8170013
316,0,0,0,mark,112.3199997,-146.0169983
317,0,0,0,mark,113.0210037,-147.2180023
318,0,0,0,mark,113.7210007,-148.4190063
319,0,0,0,mark,114.4209976,-149.6199951
320,0,0,0,mark,115.1220016,-150.8200073
321,0,0,0,mark,115.8219986,-152.0209961
322,0,0,0,mark,116.5230026,-153.2220001
323,0,0,0,mark,117.2229996,-154.4230042
324,0,0,0,mark,117.8349991,-155.6679993
325,0,0,0,mark,118.3820038,-156.9459991
326,0,0,0,mark,118.9300003,-158.2230072
327,0,0,0,mark,119.4779968,-159.5010071
328,0,0,0,mark,120.0250015,-160.7790070
329,0,0,0,mark,120.5729980,-162.0559998
330,0,0,0,mark,121.1200027,-163.3339996
331,0,0,0,mark,121.6679993,-164.6119995
332,0,0,0,mark,122.2149963,-165.8899994
333,0,0,0,mark,122.7630005,-167.1670074
334,0,0,0,mark,123.3109970,-168.4450073
335,0,0,0,mark,123.8580017,-169.7230072
336,0,0,0,mark,124.4059982,-171.0000000
337,0,0,0,mark,124.9530029,-172.2779999
338,0,0,0,mark,125.5009995,-173.5559998
339,0,0,0,mark,126.0490036,-174.8329926
340,0,0,0,mark,126.4950027,-176.1499939
341,0,0,0,mark,126.9339981,-177.4680023
342,0,0,0,mark,127.3740005,-178.7870026
343,0,0,0,mark,127.8140030,-180.1060028
344,0,0,0,mark,128.2530060,-181.4250031
345,0,0,0,mark,128.6929932,-182.7429962
346,0,0,0,mark,129.1320038,-184.0619965
347,0,0,0,mark,129.5720062,-185.3809967
348,0,0,0,mark,130.0119934,-186.6999969
349,0,0,0,mark,130.4510040,-188.0180054
350,0,0,0,mark,130.8910065,-189.3370056
351,0,0,0,mark,131.3300018,-190.6560059
352,0,0,0,mark,131.7700043,-191.9750061
353,0,0,0,mark,132.2100067,-193.2929993
354,0,0,0,mark,132.6490021,-194.6119995
355,0,0,0,mark,133.1950073,-195.8890076
356,0,0,0,mark,133.7700043,-197.1549988
357,0,0,0,mark,134.3450012,-198.4199982
358,0,0,0,mark,134.9199982,-199.6860046
359,0,0,0,mark,135.4960022,-200.9510040
360,0,0,0,mark,136.0709991,-202.2169952
361,0,0,0,mark,136.6459961,-203.4819946
362,0,0,0,mark,137.2209930,-204.7480011
363,0,0,0,mark,138.1600037,-205.1080017
364,0,0,0,mark,139.4510040,-204.5919952
365,0,0,0,mark,140.7409973,-204.0749969
366,0,0,0,mark,142.0319977,-203.5590057
367,0,0,0,mark,142.5630035,-202.3659973
368,0,0,0,mark,142.9290009,-201.0240021
369,0,0,0,mark,143.2949982,-199.6829987
370,0,0,0,mark,143.6609955,-198.3419952
371,0,0,0,mark,144.0260010,-197.0010071
372,0,0,0,mark,144.3919983,-195.6600037
373,0,0,0,mark,144.7579956,-194.3190002
374,0,0,0,mark,145.1239929,-192.9779968
375,0,0,0,mark,145.4889984,-191.6369934
376,0,0,0,mark,145.8549957,-190.2960052
377,0,0,0,mark,146.2209930,-188.9539948
378,0,0,0,mark,146.5870056,-187.6130066
