FID,Id,ORIG_FID,Id_1,typ,x,y
0,0,0,0,mark,7.9911799,-135.3600006
1,0,0,0,mark,8.4120502,-133.7530060
2,0,0,0,mark,8.8329296,-132.1459961
3,0,0,0,mark,9.2538004,-130.5390015
4,0,0,0,mark,9.6746798,-128.9320068
5,0,0,0,mark,10.0956001,-127.3249969
6,0,0,0,mark,10.5164003,-125.7180023
7,0,0,0,mark,10.9372997,-124.1110001
8,0,0,0,mark,11.3582001,-122.5039978
9,0,0,0,mark,11.7791004,-120.8970032
10,0,0,0,mark,12.1998997,-119.2900009
11,0,0,0,mark,12.6208000,-117.6829987
12,0,0,0,mark,13.0417004,-116.0759964
13,0,0,0,mark,13.4625998,-114.4690018
14,0,0,0,mark,13.8834000,-112.8619995
15,0,0,0,mark,14.3043003,-111.2549973
16,0,0,0,mark,14.7251997,-109.6480026
17,0,0,0,mark,15.1461000,-108.0410004
18,0,0,0,mark,15.5302000,-106.4260025
19,0,0,0,mark,15.8438997,-104.7939987
20,0,0,0,mark,16.1576004,-103.1630020
21,0,0,0,mark,16.4713001,-101.5319977
22,0,0,0,mark,16.7849998,-99.9004974
23,0,0,0,mark,17.0986996,-98.2692032
24,0,0,0,mark,17.4123993,-96.6379013
25,0,0,0,mark,17.7261009,-95.0065994
26,0,0,0,mark,18.0398006,-93.3752975
27,0,0,0,mark,18.3535004,-91.7440033
28,0,0,0,mark,18.6672993,-90.1127014
29,0,0,0,mark,18.9810009,-88.4813995
30,0,0,0,mark,19.5132008,-86.9084015
31,0,0,0,mark,20.0531998,-85.3375015
32,0,0,0,mark,20.5932999,-83.7665024
33,0,0,0,mark,21.1333008,-82.1956024
34,0,0,0,mark,21.6732998,-80.6246033
35,0,0,0,mark,22.2133007,-79.0535965
36,0,0,0,mark,22.7532997,-77.4826965
37,0,0,0,mark,23.2933006,-75.9116974
38,0,0,0,mark,23.8334007,-74.3407974
39,0,0,0,mark,24.3733997,-72.7697983
40,0,0,0,mark,24.9134007,-71.1988983
41,0,0,0,mark,25.4533997,-69.6278992
42,0,0,0,mark,25.9934006,-68.0569992
43,0,0,0,mark,26.5333996,-66.4860001
44,0,0,0,mark,27.2756004,-65.0241013
