FID,Id,ORIG_FID,typ,x,y
126,0,0,mark,73.2404022,-132.3769989
127,0,0,mark,73.4204025,-133.4570007
128,0,0,mark,73.6004028,-134.5370026
129,0,0,mark,73.7804031,-135.6170044
130,0,0,mark,73.9605026,-136.6970062
131,0,0,mark,74.1405029,-137.7769928
132,0,0,mark,74.3205032,-138.8569946
133,0,0,mark,74.5005035,-139.9369965
134,0,0,mark,74.6804962,-141.0169983
135,0,0,mark,74.8604965,-142.0970001
136,0,0,mark,75.0404968,-143.1770020
137,0,0,mark,75.2204971,-144.2570038
138,0,0,mark,75.4245987,-145.3329926
139,0,0,mark,75.6526031,-146.4040070
140,0,0,mark,75.8805008,-147.4750061
141,0,0,mark,76.1084976,-148.5460052
142,0,0,mark,76.3365021,-149.6170044
143,0,0,mark,76.5644989,-150.6880035
144,0,0,mark,76.7923965,-151.7590027
145,0,0,mark,77.0204010,-152.8300018
146,0,0,mark,77.2483978,-153.8999939
147,0,0,mark,77.4764023,-154.9709930
148,0,0,mark,77.7042999,-156.0420074
149,0,0,mark,77.9322968,-157.1130066
150,0,0,mark,78.1603012,-158.1840057
151,0,0,mark,78.3882980,-159.2550049
152,0,0,mark,78.6162033,-160.3260040
153,0,0,mark,78.8442001,-161.3970032
154,0,0,mark,79.0721970,-162.4680023
155,0,0,mark,79.3002014,-163.5390015
156,0,0,mark,79.5280991,-164.6100006
157,0,0,mark,79.7561035,-165.6809998
158,0,0,mark,79.9841003,-166.7519989
159,0,0,mark,80.2120972,-167.8229980
160,0,0,mark,80.4400024,-168.8939972
161,0,0,mark,80.6679993,-169.9649963
162,0,0,mark,80.8960037,-171.0359955
163,0,0,mark,81.1240005,-172.1069946
164,0,0,mark,81.3519974,-173.1779938
165,0,0,mark,81.5799026,-174.2489929
166,0,0,mark,81.8078995,-175.3200073
167,0,0,mark,82.0358963,-176.3910065
168,0,0,mark,82.2639008,-177.4620056
169,0,0,mark,82.4917984,-178.5319977
170,0,0,mark,82.7198029,-179.6029968
171,0,0,mark,82.9477997,-180.6739960
172,0,0,mark,83.1757965,-181.7449951
173,0,0,mark,83.4037018,-182.8159943
174,0,0,mark,83.6316986,-183.8869934
175,0,0,mark,83.8597031,-184.9579926
176,0,0,mark,84.0876999,-186.0290070
177,0,0,mark,84.3155975,-187.1000061
178,0,0,mark,84.5436020,-188.1710052
179,0,0,mark,84.7715988,-189.2420044
180,0,0,mark,84.9996033,-190.3130035
181,0,0,mark,85.2275009,-191.3840027
182,0,0,mark,85.4554977,-192.4550018
183,0,0,mark,85.6835022,-193.5260010
184,0,0,mark,85.9114990,-194.5970001
185,0,0,mark,86.1393967,-195.6679993
186,0,0,mark,86.3674011,-196.7389984
187,0,0,mark,86.5953979,-197.8099976
188,0,0,mark,86.8234024,-198.8809967
189,0,0,mark,87.0513000,-199.9519958
190,0,0,mark,87.2792969,-201.0229950
191,0,0,mark,87.5073013,-202.0930023
192,0,0,mark,87.7352982,-203.1640015
193,0,0,mark,87.9632034,-204.2350006
194,0,0,mark,88.1912003,-205.3059998
195,0,0,mark,88.4191971,-206.3769989
196,0,0,mark,88.6472015,-207.4479980
197,0,0,mark,88.8750992,-208.5189972
198,0,0,mark,89.1031036,-209.5899963
199,0,0,mark,89.3311005,-210.6609955
200,0,0,mark,89.5590973,-211.7319946
201,0,0,mark,89.7870026,-212.8029938
202,0,0,mark,90.0149994,-213.8739929
203,0,0,mark,90.2429962,-214.9450073
204,0,0,mark,90.4710007,-216.0160065
205,0,0,mark,90.6961975,-217.0870056
206,0,0,mark,90.9089966,-218.1609955
207,0,0,mark,91.1218033,-219.2359924
208,0,0,mark,91.3347015,-220.3099976
209,0,0,mark,91.5475006,-221.3840027
210,0,0,mark,91.7602997,-222.4579926
211,0,0,mark,91.9730988,-223.5319977
212,0,0,mark,92.1858978,-224.6060028
213,0,0,mark,92.3986969,-225.6799927
214,0,0,mark,92.6116028,-226.7539978
215,0,0,mark,92.8244019,-227.8280029
216,0,0,mark,93.0372009,-228.9019928
217,0,0,mark,93.2500000,-229.9759979
218,0,0,mark,93.4627991,-231.0500031
219,0,0,mark,93.6755981,-232.1239929
220,0,0,mark,93.8883972,-233.1990051
221,0,0,mark,94.1013031,-234.2729950
222,0,0,mark,94.3141022,-235.3470001
223,0,0,mark,94.5269012,-236.4210052
224,0,0,mark,94.7397003,-237.4949951
225,0,0,mark,94.9524994,-238.5690002
226,0,0,mark,95.1652985,-239.6430054
227,0,0,mark,95.3781967,-240.7169952
228,0,0,mark,95.5910034,-241.7910004
229,0,0,mark,95.8038025,-242.8650055
230,0,0,mark,96.0166016,-243.9389954
231,0,0,mark,96.2294006,-245.0130005
232,0,0,mark,96.4421997,-246.0870056
233,0,0,mark,96.6549988,-247.1609955
234,0,0,mark,96.8678970,-248.2350006
235,0,0,mark,97.0807037,-249.3099976
236,0,0,mark,97.2935028,-250.3840027
237,0,0,mark,97.5063019,-251.4579926
238,0,0,mark,97.7191010,-252.5319977
239,0,0,mark,97.9319000,-253.6060028
240,0,0,mark,98.1447983,-254.6799927
241,0,0,mark,98.3575974,-255.7539978
242,0,0,mark,98.5703964,-256.8280029
243,0,0,mark,98.7832031,-257.9020081
244,0,0,mark,98.9960022,-258.9760132
245,0,0,mark,99.2088013,-260.0499878
246,0,0,mark,99.4216003,-261.1239929
247,0,0,mark,99.6344986,-262.1979980
248,0,0,mark,99.8472977,-263.2720032
249,0,0,mark,100.0599976,-264.3469849
250,0,0,mark,100.2730026,-265.4209900
251,0,0,mark,100.4860001,-266.4949951
252,0,0,mark,100.6989975,-267.5690002
253,0,0,mark,100.9110031,-268.6430054
254,0,0,mark,101.1240005,-269.7170105
255,0,0,mark,101.3369980,-270.7909851
256,0,0,mark,101.5500031,-271.8649902
257,0,0,mark,101.7630005,-272.9389954
258,0,0,mark,101.9749985,-274.0130005
259,0,0,mark,102.1880035,-275.0870056
260,0,0,mark,102.4010010,-276.1610107
261,0,0,mark,102.6139984,-277.2349854
262,0,0,mark,102.8270035,-278.3089905
263,0,0,mark,103.0400009,-279.3840027
264,0,0,mark,103.2519989,-280.4580078
265,0,0,mark,103.4649963,-281.5320129
266,0,0,mark,103.6780014,-282.6059875
267,0,0,mark,103.8909988,-283.6799927
268,0,0,mark,104.1039963,-284.7539978
269,0,0,mark,104.3160019,-285.8280029
270,0,0,mark,104.5289993,-286.9020081
271,0,0,mark,104.7419968,-287.9760132
272,0,0,mark,104.9550018,-289.0499878
273,0,0,mark,105.1679993,-290.1239929
274,0,0,mark,105.3799973,-291.1979980
275,0,0,mark,105.5930023,-292.2720032
276,0,0,mark,105.8059998,-293.3460083
277,0,0,mark,106.0189972,-294.4209900
278,0,0,mark,106.2320023,-295.4949951
279,0,0,mark,106.4449997,-296.5690002
280,0,0,mark,106.6569977,-297.6430054
281,0,0,mark,106.8700027,-298.7170105
282,0,0,mark,107.0830002,-299.7909851
283,0,0,mark,107.2959976,-300.8649902
284,0,0,mark,107.5090027,-301.9389954
285,0,0,mark,107.7210007,-303.0130005
286,0,0,mark,107.9339981,-304.0870056
287,0,0,mark,108.1470032,-305.1610107
288,0,0,mark,108.3600006,-306.2349854
289,0,0,mark,108.5729980,-307.3089905
290,0,0,mark,108.7860031,-308.3829956
291,0,0,mark,108.9980011,-309.4580078
292,0,0,mark,109.2109985,-310.5320129
293,0,0,mark,109.4240036,-311.6059875
294,0,0,mark,109.6370010,-312.6799927
295,0,0,mark,109.8499985,-313.7539978
296,0,0,mark,110.0619965,-314.8280029
297,0,0,mark,110.2750015,-315.9020081
298,0,0,mark,110.4879990,-316.9760132
299,0,0,mark,110.7009964,-318.0499878
300,0,0,mark,110.9140015,-319.1239929
301,0,0,mark,111.1259995,-320.1979980
302,0,0,mark,111.3389969,-321.2720032
303,0,0,mark,111.5520020,-322.3460083
304,0,0,mark,111.7649994,-323.4200134
305,0,0,mark,111.9779968,-324.4949951
306,0,0,mark,112.1910019,-325.5690002
307,0,1,mark,202.2279968,-329.4809875
308,0,1,mark,202.3209991,-328.3900146
309,0,1,mark,202.4140015,-327.2990112
310,0,1,mark,202.5070038,-326.2080078
311,0,1,mark,202.6000061,-325.1170044
312,0,1,mark,202.6929932,-324.0260010
313,0,1,mark,202.7850037,-322.9349976
314,0,1,mark,202.8780060,-321.8439941
315,0,1,mark,202.9709930,-320.7529907
316,0,1,mark,203.0639954,-319.6619873
317,0,1,mark,203.1569977,-318.5710144
318,0,1,mark,203.2500000,-317.4800110
319,0,1,mark,203.3430023,-316.3890076
320,0,1,mark,203.4349976,-315.2980042
321,0,1,mark,203.5279999,-314.2070007
322,0,1,mark,203.6210022,-313.1159973
323,0,1,mark,203.7140045,-312.0249939
324,0,1,mark,203.8070068,-310.9339905
325,0,1,mark,203.8999939,-309.8429871
326,0,1,mark,203.9929962,-308.7520142
327,0,1,mark,204.0850067,-307.6610107
328,0,1,mark,204.1779938,-306.5700073
329,0,1,mark,204.2709961,-305.4790039
330,0,1,mark,204.3639984,-304.3880005
331,0,1,mark,204.4570007,-303.2969971
332,0,1,mark,204.5500031,-302.2059937
333,0,1,mark,204.6430054,-301.1149902
334,0,1,mark,204.7350006,-300.0239868
335,0,1,mark,204.8280029,-298.9330139
336,0,1,mark,204.9210052,-297.8420105
337,0,1,mark,205.0269928,-296.7520142
338,0,1,mark,205.1699982,-295.6669922
339,0,1,mark,205.3139954,-294.5809937
340,0,1,mark,205.4579926,-293.4960022
341,0,1,mark,205.6009979,-292.4100037
342,0,1,mark,205.7449951,-291.3250122
343,0,1,mark,205.8890076,-290.2390137
344,0,1,mark,206.0319977,-289.1539917
345,0,1,mark,206.1759949,-288.0679932
346,0,1,mark,206.3200073,-286.9830017
347,0,1,mark,206.4629974,-285.8970032
348,0,1,mark,206.6069946,-284.8120117
349,0,1,mark,206.7510071,-283.7269897
350,0,1,mark,206.8939972,-282.6409912
351,0,1,mark,207.0379944,-281.5559998
352,0,1,mark,207.1820068,-280.4700012
353,0,1,mark,207.3249969,-279.3850098
354,0,1,mark,207.4689941,-278.2990112
355,0,1,mark,207.6130066,-277.2139893
356,0,1,mark,207.7559967,-276.1279907
357,0,1,mark,207.8999939,-275.0429993
358,0,1,mark,208.0440063,-273.9570007
359,0,1,mark,208.1869965,-272.8720093
360,0,1,mark,208.3309937,-271.7860107
361,0,1,mark,208.4750061,-270.7009888
362,0,1,mark,208.6179962,-269.6149902
363,0,1,mark,208.7619934,-268.5299988
364,0,1,mark,208.9060059,-267.4440002
365,0,1,mark,209.0489960,-266.3590088
366,0,1,mark,209.1929932,-265.2730103
367,0,1,mark,209.3370056,-264.1879883
368,0,1,mark,209.4799957,-263.1019897
369,0,1,mark,209.6239929,-262.0169983
370,0,1,mark,209.7680054,-260.9309998
371,0,1,mark,209.9109955,-259.8460083
372,0,1,mark,210.0549927,-258.7600098
373,0,1,mark,210.1990051,-257.6749878
374,0,1,mark,210.3419952,-256.5889893
375,0,1,mark,210.4859924,-255.5039978
376,0,1,mark,210.6300049,-254.4179993
377,0,1,mark,210.7729950,-253.3329926
378,0,1,mark,210.9170074,-252.2469940
379,0,1,mark,211.0610046,-251.1620026
380,0,1,mark,211.2039948,-250.0760040
381,0,1,mark,211.3480072,-248.9909973
382,0,1,mark,211.4620056,-247.9019928
383,0,1,mark,211.5500031,-246.8110046
384,0,1,mark,211.6390076,-245.7200012
385,0,1,mark,211.7270050,-244.6280060
386,0,1,mark,211.8150024,-243.5370026
387,0,1,mark,211.9029999,-242.4450073
388,0,1,mark,211.9909973,-241.3540039
389,0,1,mark,212.0800018,-240.2630005
390,0,1,mark,212.1679993,-239.1710052
391,0,1,mark,212.2559967,-238.0800018
392,0,1,mark,212.3439941,-236.9880066
393,0,1,mark,212.4320068,-235.8970032
394,0,1,mark,212.5200043,-234.8059998
395,0,1,mark,212.6089935,-233.7140045
396,0,1,mark,212.6970062,-232.6230011
397,0,1,mark,212.7850037,-231.5310059
398,0,1,mark,212.8730011,-230.4400024
399,0,1,mark,212.9609985,-229.3489990
400,0,1,mark,213.0500031,-228.2570038
401,0,1,mark,213.1380005,-227.1660004
402,0,1,mark,213.2259979,-226.0740051
403,0,1,mark,213.3139954,-224.9830017
404,0,1,mark,213.4019928,-223.8919983
405,0,1,mark,213.4909973,-222.8000031
406,0,1,mark,213.5789948,-221.7089996
407,0,1,mark,213.6670074,-220.6179962
408,0,1,mark,213.7550049,-219.5260010
409,0,1,mark,213.8430023,-218.4349976
410,0,1,mark,213.9320068,-217.3430023
411,0,1,mark,214.0200043,-216.2519989
412,0,1,mark,214.1080017,-215.1609955
413,0,1,mark,214.1959991,-214.0690002
414,0,1,mark,214.2839966,-212.9779968
415,0,1,mark,214.3730011,-211.8860016
416,0,1,mark,214.4609985,-210.7949982
417,0,1,mark,214.5489960,-209.7039948
418,0,1,mark,214.6369934,-208.6119995
419,0,1,mark,214.7250061,-207.5209961
420,0,1,mark,214.8139954,-206.4290009
421,0,1,mark,214.9019928,-205.3379974
422,0,1,mark,214.9900055,-204.2469940
423,0,1,mark,215.0780029,-203.1549988
424,0,1,mark,215.1660004,-202.0639954
425,0,1,mark,215.2539978,-200.9720001
426,0,1,mark,215.3430023,-199.8809967
427,0,1,mark,215.4309998,-198.7899933
428,0,1,mark,215.5189972,-197.6979980
429,0,1,mark,215.6069946,-196.6069946
430,0,1,mark,215.6950073,-195.5149994
431,0,1,mark,215.7839966,-194.4239960
432,0,1,mark,215.8719940,-193.3329926
433,0,1,mark,215.9600067,-192.2409973
434,0,1,mark,216.0480042,-191.1499939
435,0,1,mark,216.1360016,-190.0579987
436,0,1,mark,216.2250061,-188.9669952
437,0,1,mark,216.3130035,-187.8760071
438,0,1,mark,216.4010010,-186.7839966
439,0,1,mark,216.4889984,-185.6929932
440,0,1,mark,216.5769958,-184.6020050
441,0,1,mark,216.6660004,-183.5099945
442,0,1,mark,216.7539978,-182.4190063
443,0,1,mark,216.8419952,-181.3269958
444,0,1,mark,216.9299927,-180.2359924
445,0,1,mark,217.0180054,-179.1450043
446,0,1,mark,217.1069946,-178.0529938
447,0,1,mark,217.2660065,-176.9709930
448,0,1,mark,217.4450073,-175.8899994
449,0,1,mark,217.6239929,-174.8099976
450,0,1,mark,217.8040009,-173.7299957
451,0,1,mark,217.9830017,-172.6499939
452,0,1,mark,218.1629944,-171.5700073
453,0,1,mark,218.3419952,-170.4900055
454,0,1,mark,218.5209961,-169.4089966
455,0,1,mark,218.7010040,-168.3289948
456,0,1,mark,218.8800049,-167.2489929
457,0,1,mark,219.0599976,-166.1690063
458,0,1,mark,219.2389984,-165.0890045
459,0,1,mark,219.4179993,-164.0090027
460,0,1,mark,219.5980072,-162.9279938
461,0,1,mark,219.7769928,-161.8480072
462,0,1,mark,219.9570007,-160.7680054
463,0,1,mark,220.1360016,-159.6880035
464,0,1,mark,220.3150024,-158.6080017
465,0,1,mark,220.4949951,-157.5279999
466,0,1,mark,220.6739960,-156.4479980
467,0,1,mark,220.8540039,-155.3670044
468,0,1,mark,221.0330048,-154.2870026
469,0,1,mark,221.2120056,-153.2070007
470,0,1,mark,221.3919983,-152.1269989
471,0,1,mark,221.5709991,-151.0469971
472,0,1,mark,221.7510071,-149.9669952
473,0,1,mark,221.9299927,-148.8860016
474,0,1,mark,222.1089935,-147.8059998
475,0,1,mark,222.2890015,-146.7259979
476,0,1,mark,222.4680023,-145.6459961
477,0,1,mark,222.6479950,-144.5659943
478,0,1,mark,222.8029938,-143.4830017
479,0,1,mark,222.8950043,-142.3919983
480,0,1,mark,222.9869995,-141.3009949
481,0,1,mark,223.0789948,-140.2089996
482,0,1,mark,223.1719971,-139.1179962
483,0,1,mark,223.2640076,-138.0269928
484,0,1,mark,223.3560028,-136.9360046
485,0,1,mark,223.4479980,-135.8450012
486,0,1,mark,223.5399933,-134.7539978
487,0,1,mark,223.6329956,-133.6629944
488,0,1,mark,223.7250061,-132.5720062
489,0,1,mark,223.8170013,-131.4810028
490,0,1,mark,223.9089966,-130.3899994
491,0,1,mark,224.0010071,-129.2989960
492,0,1,mark,224.0939941,-128.2079926
493,0,1,mark,224.1860046,-127.1169968
494,0,1,mark,224.2779999,-126.0260010
495,0,1,mark,224.3699951,-124.9349976
496,0,1,mark,224.4629974,-123.8440018
497,0,1,mark,224.5549927,-122.7519989
498,0,1,mark,224.9210052,-123.6100006
499,0,1,mark,225.3110046,-124.6330032
500,0,1,mark,225.7010040,-125.6559982
501,0,1,mark,226.0910034,-126.6790009
502,0,1,mark,226.4799957,-127.7030029
503,0,1,mark,226.8699951,-128.7259979
504,0,1,mark,227.2599945,-129.7489929
505,0,1,mark,227.6499939,-130.7720032
506,0,1,mark,228.0399933,-131.7949982
507,0,1,mark,228.4290009,-132.8190002
508,0,1,mark,228.8190002,-133.8419952
509,0,1,mark,229.2089996,-134.8650055
510,0,1,mark,229.4519958,-135.9279938
511,0,1,mark,229.6360016,-137.0079956
512,0,1,mark,229.8200073,-138.0870056
513,0,1,mark,230.0039978,-139.1660004
514,0,1,mark,230.1880035,-140.2460022
515,0,1,mark,230.3719940,-141.3249969
516,0,1,mark,230.5559998,-142.4049988
517,0,1,mark,230.7400055,-143.4839935
518,0,1,mark,230.9239960,-144.5630035
519,0,1,mark,231.1080017,-145.6430054
520,0,1,mark,231.2920074,-146.7220001
521,0,1,mark,231.4759979,-147.8020020
522,0,1,mark,231.6600037,-148.8809967
523,0,1,mark,231.8439941,-149.9600067
524,0,1,mark,232.0279999,-151.0399933
525,0,1,mark,232.2120056,-152.1190033
526,0,1,mark,232.3959961,-153.1979980
527,0,1,mark,232.5800018,-154.2779999
528,0,1,mark,232.7640076,-155.3569946
529,0,1,mark,232.9479980,-156.4369965
530,0,1,mark,233.1320038,-157.5160065
531,0,1,mark,233.3159943,-158.5950012
532,0,1,mark,233.5000000,-159.6750031
533,0,1,mark,233.6840057,-160.7539978
534,0,1,mark,233.8820038,-161.8309937
535,0,1,mark,234.0970001,-162.9049988
536,0,1,mark,234.3110046,-163.9779968
537,0,1,mark,234.5260010,-165.0520020
538,0,1,mark,234.7409973,-166.1260071
539,0,1,mark,234.9559937,-167.1990051
540,0,1,mark,235.1699982,-168.2729950
541,0,1,mark,235.3849945,-169.3470001
542,0,1,mark,235.6000061,-170.4199982
543,0,1,mark,235.8150024,-171.4940033
544,0,1,mark,236.0290070,-172.5679932
545,0,1,mark,236.2440033,-173.6410065
546,0,1,mark,236.4589996,-174.7149963
547,0,1,mark,236.6739960,-175.7890015
548,0,1,mark,236.8880005,-176.8630066
549,0,1,mark,237.1250000,-177.9309998
550,0,1,mark,237.4369965,-178.9799957
551,0,1,mark,237.7489929,-180.0299988
552,0,1,mark,238.0610046,-181.0789948
553,0,1,mark,238.3730011,-182.1289978
554,0,1,mark,238.6849976,-183.1779938
555,0,1,mark,238.9969940,-184.2279968
556,0,1,mark,239.3090057,-185.2779999
557,0,1,mark,239.6210022,-186.3269958
558,0,1,mark,239.9329987,-187.3769989
559,0,1,mark,240.2449951,-188.4259949
560,0,1,mark,240.5269928,-187.9089966
561,0,1,mark,240.7969971,-186.8480072
562,0,1,mark,241.0679932,-185.7870026
563,0,1,mark,241.3379974,-184.7259979
564,0,1,mark,241.6080017,-183.6649933
565,0,1,mark,241.8789978,-182.6040039
566,0,1,mark,242.1490021,-181.5429993
567,0,1,mark,242.4199982,-180.4819946
568,0,1,mark,242.6900024,-179.4210052
569,0,1,mark,242.9609985,-178.3600006
570,0,1,mark,243.2310028,-177.2989960
571,0,1,mark,243.5019989,-176.2380066
572,0,1,mark,243.7720032,-175.1770020
573,0,1,mark,244.0429993,-174.1159973
574,0,1,mark,244.2700043,-173.0460052
575,0,1,mark,244.4450073,-171.9649963
576,0,1,mark,244.6190033,-170.8840027
577,0,1,mark,244.7929993,-169.8029938
578,0,1,mark,244.9680023,-168.7220001
579,0,1,mark,245.1419983,-167.6410065
580,0,1,mark,245.3159943,-166.5599976
581,0,1,mark,245.4909973,-165.4790039
582,0,1,mark,245.6649933,-164.3979950
583,0,1,mark,245.8390045,-163.3170013
584,0,1,mark,246.0140076,-162.2359924
585,0,1,mark,246.1880035,-161.1549988
586,0,1,mark,246.3619995,-160.0740051
587,0,1,mark,246.5370026,-158.9929962
588,0,1,mark,246.7109985,-157.9120026
589,0,1,mark,246.8849945,-156.8309937
590,0,1,mark,247.0599976,-155.7500000
591,0,1,mark,247.1959991,-154.6649933
592,0,1,mark,247.2700043,-153.5729980
593,0,1,mark,247.3450012,-152.4799957
594,0,1,mark,247.4190063,-151.3880005
595,0,1,mark,247.4940033,-150.2949982
596,0,1,mark,247.5679932,-149.2030029
597,0,1,mark,247.6419983,-148.1109924
598,0,1,mark,247.7169952,-147.0180054
599,0,1,mark,247.7910004,-145.9259949
600,0,1,mark,247.8659973,-144.8329926
601,0,1,mark,247.9400024,-143.7409973
602,0,1,mark,248.0149994,-142.6490021
603,0,1,mark,248.4149933,-142.2669983
604,0,1,mark,249.2910004,-142.9239960
605,0,1,mark,250.1670074,-143.5809937
606,0,1,mark,251.0429993,-144.2380066
607,0,1,mark,251.7429962,-145.0209961
608,0,1,mark,252.0890045,-146.0599976
609,0,1,mark,252.4360046,-147.0989990
610,0,1,mark,252.7819977,-148.1380005
611,0,1,mark,253.1280060,-149.1759949
612,0,1,mark,253.4739990,-150.2149963
613,0,1,mark,253.8209991,-151.2539978
614,0,1,mark,254.1670074,-152.2929993
615,0,1,mark,254.5130005,-153.3309937
616,0,1,mark,254.8589935,-154.3699951
617,0,1,mark,255.2209930,-155.3730011
618,0,1,mark,256.2000122,-154.8829956
619,0,1,mark,257.1789856,-154.3930054
620,0,1,mark,258.1589966,-153.9040070
621,0,1,mark,259.0260010,-153.9239960
622,0,1,mark,259.7099915,-154.7790070
623,0,1,mark,260.3940125,-155.6340027
624,0,1,mark,261.0780029,-156.4889984
625,0,1,mark,261.7619934,-157.3439941
626,0,1,mark,262.3840027,-158.2310028
627,0,1,mark,262.6849976,-159.2839966
628,0,1,mark,262.9859924,-160.3370056
629,0,1,mark,263.2869873,-161.3890076
630,0,1,mark,263.5880127,-162.4420013
631,0,1,mark,263.8880005,-163.4949951
632,0,1,mark,264.1889954,-164.5480042
633,0,1,mark,264.4899902,-165.6009979
