FID,Id,ORIG_FID,Id_1,typ,x,y
0,0,0,0,mark,1.5253100,-65.4962006
1,0,0,0,mark,2.3374600,-66.2181015
2,0,0,0,mark,3.1496100,-66.9400024
3,0,0,0,mark,3.9732101,-67.6206970
4,0,0,0,mark,5.0412202,-67.4205017
5,0,0,0,mark,6.1092300,-67.2201996
6,0,0,0,mark,7.1772399,-67.0199966
7,0,0,0,mark,8.2452497,-66.8197021
8,0,0,0,mark,9.3132496,-66.6194000
9,0,0,0,mark,10.2988005,-66.1906967
10,0,0,0,mark,11.2487001,-65.6630020
11,0,0,0,mark,12.1985998,-65.1352997
12,0,0,0,mark,13.0018997,-64.4673004
13,0,0,0,mark,13.4878998,-63.4953995
14,0,0,0,mark,13.9737997,-62.5234985
15,0,0,0,mark,14.4597998,-61.5516014
16,0,0,0,mark,14.9456997,-60.5797005
17,0,0,0,mark,15.3677998,-59.5889015
18,0,0,0,mark,15.4877996,-58.5088997
19,0,0,0,mark,15.6077995,-57.4290009
20,0,0,0,mark,15.7278004,-56.3489990
21,0,0,0,mark,15.8478003,-55.2690010
22,0,0,0,mark,15.9678001,-54.1889992
23,0,0,0,mark,16.0606995,-53.1076012
24,0,0,0,mark,16.0606995,-52.0209007
25,0,0,0,mark,16.0606995,-50.9342995
26,0,0,0,mark,16.0606995,-49.8476982
27,0,0,0,mark,16.0606995,-48.7611008
28,0,0,0,mark,16.0606995,-47.6744995
29,0,0,0,mark,16.0606995,-46.5877991
30,0,0,0,mark,16.0606995,-45.5012016
31,0,0,0,mark,16.0699005,-44.4177017
32,0,0,0,mark,16.7219009,-43.5484009
33,0,0,0,mark,17.3738003,-42.6791000
34,0,0,0,mark,18.0258007,-41.8097992
35,0,0,0,mark,18.5359993,-42.2934990
36,0,0,0,mark,18.9936008,-43.2789993
37,0,0,0,mark,19.4512005,-44.2645988
38,0,0,0,mark,19.9087009,-45.2501984
39,0,0,0,mark,20.3663006,-46.2358017
40,0,0,0,mark,20.8239002,-47.2212982
41,0,0,0,mark,21.2814999,-48.2069016
42,0,0,0,mark,21.7390995,-49.1925011
43,0,0,0,mark,22.1966991,-50.1781006
44,0,0,0,mark,22.6543007,-51.1636009
45,0,0,0,mark,23.0669994,-52.1679993
46,0,0,0,mark,23.4486008,-53.1853981
47,0,0,0,mark,23.8300991,-54.2028999
