FID,Id,ORIG_FID,Id_1,typ,x,y
115,0,0,0,mark,349.3529968,-120.9049988
116,0,0,0,mark,350.1199951,-121.7350006
117,0,0,0,mark,350.8869934,-122.5660019
118,0,0,0,mark,351.6530151,-123.3960037
119,0,1,0,mark,2.3864999,-110.3740005
120,0,1,0,mark,3.3037200,-111.0350037
121,0,1,0,mark,4.2209301,-111.6949997
122,0,1,0,mark,5.1381402,-112.3550034
123,0,1,0,mark,6.0553598,-113.0159988
124,0,1,0,mark,6.9725699,-113.6760025
125,0,1,0,mark,7.8897800,-114.3369980
126,0,1,0,mark,8.8069897,-114.9970016
127,0,1,0,mark,9.7242098,-115.6569977
128,0,1,0,mark,10.6414003,-116.3180008
129,0,1,0,mark,11.5586004,-116.9779968
130,0,1,0,mark,12.4757996,-117.6389999
131,0,1,0,mark,13.3951998,-118.2639999
132,0,1,0,mark,14.3873997,-117.7229996
133,0,1,0,mark,15.3796997,-117.1819992
134,0,1,0,mark,16.3719006,-116.6409988
135,0,1,0,mark,17.3640995,-116.0989990
136,0,1,0,mark,18.3563004,-115.5579987
137,0,1,0,mark,19.0734997,-114.7160034
138,0,1,0,mark,19.7003994,-113.7760010
139,0,1,0,mark,20.3272991,-112.8359985
140,0,1,0,mark,20.9542999,-111.8949966
141,0,1,0,mark,21.5811996,-110.9550018
142,0,1,0,mark,22.2080994,-110.0139999
143,0,1,0,mark,22.8351002,-109.0739975
144,0,1,0,mark,23.4619999,-108.1340027
145,0,1,0,mark,24.0888996,-107.1930008
146,0,1,0,mark,25.0025997,-107.0889969
147,0,1,0,mark,26.0748997,-107.4459991
148,0,1,0,mark,27.1471004,-107.8040009
149,0,1,0,mark,28.2192993,-108.1610031
150,0,1,0,mark,29.2915001,-108.5179977
151,0,1,0,mark,30.3638000,-108.8759995
152,0,1,0,mark,31.4360008,-109.2330017
153,0,1,0,mark,32.4184990,-109.7910004
154,0,1,0,mark,33.3997993,-110.3519974
155,0,1,0,mark,34.3810997,-110.9130020
156,0,1,0,mark,35.3624001,-111.4729996
157,0,1,0,mark,36.3437004,-112.0339966
158,0,1,0,mark,37.3250008,-112.5950012
159,0,1,0,mark,38.3064003,-113.1559982
160,0,1,0,mark,39.2877007,-113.7160034
161,0,1,0,mark,40.2690010,-114.2770004
162,0,1,0,mark,41.2503014,-114.8379974
163,0,1,0,mark,42.2316017,-115.3990021
164,0,1,0,mark,43.2128983,-115.9589996
165,0,1,0,mark,44.1941986,-116.5199966
166,0,2,0,glacier,49.2969017,-109.3550034
167,0,2,0,glacier,49.6543999,-108.2829971
168,0,2,0,glacier,50.0117989,-107.2109985
169,0,2,0,glacier,50.3692017,-106.1389999
170,0,2,0,glacier,50.7266006,-105.0670013
171,0,2,0,glacier,51.0839996,-103.9940033
172,0,2,0,glacier,51.4413986,-102.9219971
173,0,2,0,glacier,51.7988014,-101.8499985
174,0,2,0,glacier,52.1562004,-100.7779999
175,0,2,0,glacier,52.5135994,-99.7054977
176,0,2,0,glacier,52.8709984,-98.6333008
177,0,2,0,glacier,53.2284012,-97.5610962
178,0,2,0,glacier,53.5858002,-96.4888000
179,0,2,0,glacier,53.9431992,-95.4166031
