Easting,Northing,mark,r,g,b,Name
654368.4983504125,7556889.074866305,1336.0570875776814,190,121,74,1
654344.0106734503,7556887.2843137365,1334.4141583063447,190,121,74,1
654319.6882642616,7556885.363456149,1332.7812640052675,190,121,74,1
654295.6633421293,7556883.207849633,1331.6116624501658,190,121,74,1
654272.0560373247,7556881.030749175,1330.3001408183593,190,121,74,1
654248.7006295032,7556879.0281986315,1328.3929905174475,190,121,74,1
654225.648921626,7556876.9785437975,1328.3964265410154,190,121,74,1
654140.5427546706,7556247.054271458,1355.9966754497768,190,121,74,1
654186.4149907101,7556250.528875687,1356.8629404160154,190,121,74,1
654232.5185490258,7556256.153349278,1359.1958033163658,190,121,74,1
654278.94136918,7556262.7530380385,1364.1175545057092,190,121,74,1
654325.7259401247,7556269.852921791,1370.8838011531627,190,121,74,1
654372.6695631085,7556277.506399336,1376.5797343337179,190,121,74,1
654419.664741687,7556285.46351111,1380.8094621126304,190,121,74,1
654466.846263336,7556293.170496518,1384.517395283203,190,121,74,1
654514.3807853949,7556300.300257186,1389.8950792721607,190,121,74,1
654561.8831642208,7556307.438340332,1398.2495761296186,190,121,74,1
654609.5269202616,7556314.201867625,1402.6317716764936,190,121,74,1
654657.3865095265,7556320.052169117,1405.4325937302795,190,121,74,1
654706.2468049971,7556323.7535608765,1409.483083434306,190,121,74,1
654755.213957594,7556324.57793384,1402.5174334269818,190,121,74,1
654804.1691217888,7556323.164327335,1394.7724813770144,190,121,74,1
654853.0035260757,7556320.274064885,1387.0577417897748,190,121,74,1
654901.488031516,7556315.76222335,1379.284361354228,190,121,74,1
654949.4148073288,7556310.580816744,1372.8521951725872,190,121,74,1
654997.589406488,7556303.907487009,1366.7604369080784,190,121,74,1
655045.9013270099,7556295.950971515,1358.6495357233687,190,121,74,1
655094.2136383586,7556287.70504908,1355.679264606181,190,121,74,1
655142.0972267793,7556279.321735369,1357.1028675700486,190,121,74,1
655189.7996556382,7556270.815965488,1363.4784931862594,190,121,74,1
655237.0465978249,7556262.152410697,1367.158054039775,190,121,74,1
655283.824208108,7556253.386396964,1365.656647155009,190,121,74,1
655330.2854474265,7556244.592712245,1359.5212383903606,190,121,74,1
655376.397696504,7556235.7319146115,1354.335827369853,190,121,74,1
655421.988309066,7556226.765415418,1349.6175441374312,190,121,74,1
655467.0145001389,7556217.821733782,1346.0145152897749,190,121,74,1
655511.6594752908,7556208.996211125,1342.8818798210248,190,121,74,1
655556.0888295041,7556200.963771564,1339.7592443425094,190,121,74,1
655600.0435581754,7556194.879352063,1337.30768333665,190,121,74,1
655643.6799123418,7556191.801301491,1335.6566284440714,190,121,74,1
655687.008562152,7556192.301525235,1334.4755735514934,190,121,74,1
655728.4693162882,7556196.884784971,1333.4384642936811,190,121,74,1
655767.4385210511,7556206.309212913,1333.2776237907512,190,121,74,1
655803.7139774753,7556219.635305875,1334.5566357634075,190,121,74,1
655836.0975040095,7556237.342798022,1335.6615673014935,190,121,74,1
655862.4439588157,7556260.7529682275,1334.1880152507124,190,121,74,1
655883.2654478139,7556287.424297497,1331.272798282939,190,121,74,1
655898.3501342235,7556316.0045838915,1329.3279732194624,190,121,74,1
655907.2625466033,7556346.982369423,1326.9029067887984,190,121,74,1
655910.1164690007,7556379.062710417,1326.6145500505172,190,121,74,1
655909.4507897301,7556410.030333485,1323.70484802415,190,121,74,1
655905.1333264008,7556439.989586271,1320.3252040983687,190,121,74,1
655897.3350885204,7556469.3535705265,1316.413249791728,190,121,74,1
655887.1257558139,7556498.028015427,1312.0379735319625,190,121,74,1
655874.3376885322,7556525.778022591,1309.8115498503219,190,121,74,1
655860.5550567551,7556552.737227531,1309.6625450358688,190,121,74,1
655844.4630115307,7556578.89139966,1306.656061979228,190,121,74,1
655826.8409973446,7556604.025656719,1307.4906327897747,190,121,74,1
655808.4268141993,7556628.437663489,1307.2492658073531,190,121,74,1
655788.5742149369,7556651.648055749,1304.6080925358685,190,121,74,1
655767.3984687689,7556673.429738376,1304.9207470671186,190,121,74,1
655745.5826039836,7556694.00210244,1304.7792643522748,190,121,74,1
655722.9588878036,7556713.476745235,1300.1867650944625,190,121,74,1
655699.6661970664,7556731.871461458,1294.9073909889935,190,121,74,1
655676.1818412966,7556749.393161043,1291.55371802415,190,121,74,1
655653.0111140587,7556766.3066114625,1289.9627439225874,190,121,74,1
655629.9516039913,7556782.487137035,1288.420202262431,190,121,74,1
655607.2827661266,7556796.902796462,1288.1555909733686,190,121,74,1
655585.2222078345,7556809.426279702,1295.1082400496553,190,121,74,1
655563.3459684008,7556820.1817518715,1303.4332935989266,190,121,74,1
655541.403292112,7556828.62956196,1315.263521996806,190,121,74,1
655519.3205261197,7556834.540487978,1317.1514522917278,190,121,74,1
655496.9350970068,7556838.344862098,1320.0094123874312,190,121,74,1
655474.3016812161,7556839.77441461,1323.3473014030562,190,121,74,1
655451.9216309013,7556838.175859891,1326.5086683659467,190,121,74,1
655429.8367457928,7556834.591246005,1326.4013196696574,190,121,74,1
655407.9048648896,7556830.154508205,1326.3975264225874,190,121,74,1
655385.4367890955,7556825.788628045,1324.5869201921187,190,121,74,1
655362.9687133016,7556821.422747885,1322.776315446025,190,121,74,1
655339.8792712386,7556818.246384758,1320.0620962858686,190,121,74,1
655316.3643737608,7556815.971646137,1322.979898229228,190,121,74,1
655292.7199384641,7556814.045158083,1323.611276822978,190,121,74,1
655268.4581700048,7556812.259497629,1324.2426822526656,190,121,74,1
655243.8169622901,7556810.44175214,1325.834029557353,190,121,74,1
655218.6014459325,7556808.458423974,1326.194909508525,190,121,74,1
655193.0161181659,7556806.630920795,1328.8903038796186,190,121,74,1
655167.0049484086,7556804.496986978,1329.4843384733686,190,121,74,1
655140.9879563027,7556802.053936902,1333.1168624577438,190,121,74,1
655114.8450149046,7556799.378768788,1331.8480330827438,190,121,74,1
655088.8139493439,7556796.588898848,1330.3757893913373,190,121,74,1
655062.6449469997,7556793.996981149,1328.9035606413374,190,121,74,1
655036.546585655,7556790.988181728,1328.2767142253215,190,121,74,1
655010.6418513927,7556787.785313392,1329.2873118913374,190,121,74,1
654984.9551494168,7556784.389832596,1326.457878209697,190,121,74,1
654958.8717733966,7556780.78338358,1326.5253201432906,190,121,74,1
654933.1508445569,7556776.56225828,1326.5276916374312,190,121,74,1
654907.7136335425,7556771.581222013,1326.009283229228,190,121,74,1
654882.3114581907,7556766.134306175,1325.3823302800092,190,121,74,1
654856.9368571277,7556760.576935457,1324.7553773307905,190,121,74,1
654831.3705474209,7556754.77414828,1324.1284244108685,190,121,74,1
654805.7780454471,7556748.998131792,1328.7914714616495,190,121,74,1
654780.5882709429,7556743.330929439,1333.2736934086915,190,121,74,1
654755.7970709981,7556737.435163974,1332.2124956838727,190,121,74,1
654731.3560841468,7556731.532649206,1329.9163633789992,190,121,74,1
654707.1428455473,7556725.681557946,1328.0321943203126,190,121,74,1
654683.1119220076,7556719.822947921,1326.9795984547231,190,121,74,1
654659.4372712581,7556713.508428968,1325.4652793424475,190,121,74,1
654635.8193011703,7556706.832313652,1324.527829938299,190,121,74,1
654611.8662924435,7556699.733563806,1323.7094111112394,190,121,74,1
654587.8341183836,7556692.90186514,1323.2391617150604,190,121,74,1
654564.0446365855,7556686.047534763,1322.292622111979,190,121,74,1
654540.6056819775,7556679.064703552,1322.2714830878904,190,121,74,1
654517.2964057481,7556672.192909578,1322.596012029541,190,121,74,1
654494.0861079494,7556665.4771265015,1322.0888761178385,190,121,74,1
654470.7184064615,7556659.107951709,1322.362193967041,190,121,74,1
654447.6051397768,7556653.044610018,1322.0660585717776,190,121,74,1
654424.7034424989,7556647.0691301385,1320.9633848922524,190,121,74,1
654402.0040997146,7556641.218391539,1320.8707993677301,190,121,74,1
654379.661882628,7556635.595364616,1320.2706290334472,190,121,74,1
654357.6291827513,7556629.94431929,1320.7099148836494,190,121,74,1
654335.9754135192,7556624.391167304,1320.4868548879394,190,121,74,1
654314.2523455154,7556618.534367946,1320.530602313802,190,121,74,1
654082.3401151564,7556197.9370331615,1395.9574648408204,190,121,74,1
654121.8610062974,7556208.652248967,1395.0925938097657,190,121,74,1
654161.2306098135,7556221.47544767,1394.929857659668,190,121,74,1
654200.105482685,7556235.131119785,1393.2341132148438,190,121,74,1
654239.4280415818,7556248.027655298,1391.2735973369145,190,121,74,1
654280.0054497336,7556261.234319524,1388.6984171831054,190,121,74,1
654322.1227388276,7556274.374981497,1385.859305840039,190,121,74,1
654364.935745404,7556286.705976605,1383.7402328950195,190,121,74,1
654408.5876566066,7556298.058022249,1382.3905804148435,190,121,74,1
654452.5475151541,7556309.288891292,1381.8470425955172,190,121,74,1
654497.3783870564,7556318.484578543,1383.0773445891336,190,121,74,1
654543.2207151338,7556324.127121405,1386.1357082412287,190,121,74,1
654589.332683248,7556327.614075808,1385.981337860189,190,121,74,1
654773.7195704636,7556318.182499274,1394.3702041569622,190,121,74,1
654817.9153332935,7556312.071449764,1390.5515011247358,190,121,74,1
654862.574149611,7556304.031811529,1388.2820192595013,190,121,74,1
654907.169357471,7556294.5000741985,1386.0125373942674,190,121,74,1
654951.4690647128,7556284.014765536,1383.742760465556,190,121,74,1
654995.2897752598,7556272.311930667,1381.7795756999312,190,121,74,1
655039.2078631384,7556259.641746842,1379.8538949186814,190,121,74,1
655083.2073868765,7556246.153080375,1380.063867496806,190,121,74,1
655127.435938351,7556232.126424978,1378.7847850293585,190,121,74,1
655171.9679508936,7556217.8940760875,1380.9104749577434,190,121,74,1
655216.8048472544,7556203.8962888075,1382.4989536296189,190,121,74,1
655261.8423090815,7556190.295327115,1384.0874293327436,190,121,74,1
655307.2505807183,7556176.764366752,1385.5221936100872,190,121,74,1
655352.9040673977,7556163.586146765,1386.4754178874314,190,121,74,1
655398.5592662266,7556151.08309072,1387.2383074284467,190,121,74,1
655444.1900914881,7556139.974722583,1388.0006113542279,190,121,74,1
655489.8173711761,7556129.915812049,1388.9542260710248,190,121,74,1
655537.6632754442,7556121.256310969,1389.7918240788376,190,121,74,1
655582.495667667,7556115.552431547,1390.3465302897748,190,121,74,1
655628.6008427978,7556112.183423144,1390.3465302897748,190,121,74,1
655673.6209342752,7556111.765019134,1390.3465302897748,190,121,74,1
655717.5899666551,7556115.291935236,1390.3465302897748,190,121,74,1
655763.2088414765,7556122.431587547,1389.9582492546185,190,121,74,1
655801.559344897,7556132.034342232,1387.6837968054,190,121,74,1
655841.4201544161,7556144.3140970785,1384.7116874772748,190,121,74,1
655878.5476651117,7556161.373408927,1381.7387565007125,190,121,74,1
655913.4548474102,7556180.639797407,1378.7555151218064,190,121,74,1
655945.0410366581,7556203.235707767,1375.7696961569625,190,121,74,1
655972.6644080033,7556229.758886778,1371.4705533887332,190,121,74,1
655996.3299636064,7556258.570598504,1366.7550252995406,190,121,74,1
656015.432845852,7556288.912874187,1364.2154740397748,190,121,74,1
656028.1943548027,7556321.089605007,1363.079931071025,190,121,74,1
656036.106001276,7556354.51701694,1362.944868434306,190,121,74,1
656040.0870249197,7556388.698340072,1338.8474868522749,190,121,74,1
656040.3966118725,7556423.171699536,1339.7401052995406,190,121,74,1
656037.1187278571,7556457.651829955,1339.9612371745407,190,121,74,1
656029.9002063398,7556491.733335309,1332.142934137431,190,121,74,1
656019.6316902486,7556524.870956946,1328.129319355065,190,121,74,1
656006.5751763113,7556556.9588981215,1321.7193040495406,190,121,74,1
655990.5639738003,7556587.977705777,1313.8704756776096,190,121,74,1
655972.393568191,7556617.910193664,1307.3094099919233,190,121,74,1
655952.2425200897,7556646.467552192,1299.0305510788373,190,121,74,1
655930.2166471335,7556673.291025125,1299.615553590556,190,121,74,1
655907.1940820456,7556699.651428392,1297.7000440397749,190,121,74,1
655883.0827611478,7556724.990656426,1295.6491593962198,190,121,74,1
655857.9148406076,7556748.317997975,1297.740984293681,190,121,74,1
655831.8860589804,7556769.982511939,1298.946886980623,190,121,74,1
655804.7927086079,7556789.765811859,1297.1511421139935,190,121,74,1
655777.3570772943,7556807.412093052,1296.2974482194625,190,121,74,1
655750.556232456,7556822.156481989,1291.5007482194624,190,121,74,1
655723.4459488675,7556834.68156573,1292.44871739915,190,121,74,1
655695.4510601801,7556845.008670283,1293.7573472331344,190,121,74,1
655666.9274818313,7556852.69113483,1292.655983043681,190,121,74,1
655638.2368318641,7556857.938217924,1292.3398118327436,190,121,74,1
655609.7541195806,7556860.969325266,1296.7459958046895,190,121,74,1
655581.556999231,7556861.714223351,1304.1852276832408,190,121,74,1
655553.8771683238,7556860.50538612,1309.2245148263514,190,121,74,1
655526.9751833399,7556857.892372475,1314.2641189563233,190,121,74,1
655500.5370710081,7556854.090275266,1320.5761589567674,190,121,74,1
655474.562991861,7556849.557987803,1325.3251142741499,190,121,74,1
655448.7166663022,7556844.3594158,1330.7986391178995,190,121,74,1
655423.286545777,7556838.0063080685,1330.4448509929,190,121,74,1
655398.5290479667,7556830.308144781,1331.3120667839155,190,121,74,1
655374.418529,7556821.572411274,1330.924751559306,190,121,74,1
655350.5776654873,7556812.310047565,1328.4632107975874,190,121,74,1
655326.8165269066,7556802.88416254,1326.873052653056,190,121,74,1
655302.8350632554,7556793.801061716,1327.7033670671185,190,121,74,1
655278.4988025145,7556785.5489517925,1326.9512761491499,190,121,74,1
655253.8848126532,7556778.010761526,1326.199381871806,190,121,74,1
655228.9695403576,7556770.997782781,1326.5787942887982,190,121,74,1
655204.0207177984,7556764.132854497,1326.1084248014936,190,121,74,1
655179.0841332318,7556757.353204585,1327.5680541813765,190,121,74,1
655154.0887362895,7556750.56087728,1328.5537176628218,190,121,74,1
655129.204257617,7556743.494561569,1333.2157286296188,190,121,74,1
655103.8186188771,7556736.613612807,1334.5636496061811,190,121,74,1
655078.3067287976,7556729.388169682,1332.1830450163372,190,121,74,1
655052.8827821233,7556722.0371864475,1331.2424091667278,190,121,74,1
655027.4294763036,7556714.591041042,1331.7798896940715,190,121,74,1
655001.9057787411,7556706.859956768,1331.4273893425093,190,121,74,1
654975.9931958133,7556698.787262687,1331.0748889323531,190,121,74,1
654950.0350396521,7556690.655891247,1330.7674183757124,190,121,74,1
654924.0324289346,7556682.44719707,1331.1307311491498,190,121,74,1
654821.2604180465,7556648.49112568,1327.9757962591145,190,121,74,1
654796.091312796,7556639.678496667,1328.248030696289,190,121,74,1
654770.8997821236,7556631.06143621,1327.3099395494141,190,121,74,1
654745.8735293701,7556622.660618798,1326.6941833239748,190,121,74,1
654721.1452810889,7556614.886723162,1326.258991194336,190,121,74,1
654696.847074374,7556607.232631798,1325.2944723376245,190,121,74,1
654672.6380423029,7556599.780812683,1324.7041182835935,190,121,74,1
654648.4261999682,7556592.722384866,1324.8578967470705,190,121,74,1
654624.1704982936,7556585.867588188,1325.055393377604,190,121,74,1
654599.8566696178,7556579.33729082,1326.4905255419922,190,121,74,1
654575.6450394186,7556572.270223871,1325.2523631837332,190,121,74,1
654551.3354150462,7556564.794810679,1323.9684679697266,190,121,74,1
654526.8172673557,7556557.410100394,1325.5627320797528,190,121,74,1
