Easting,Northing,fuffens,r,g,b,Name
653777.9567692985,7556535.56843889,1374.0602752165523,248,57,4,1
653761.1843319117,7556519.936574533,1373.660864470703,248,57,4,1
653746.2367638475,7556500.2374708615,1374.4087491368814,248,57,4,1
653734.2412429224,7556477.222194518,1375.405959856608,248,57,4,1
653728.060625201,7556450.472106532,1376.8515160195313,248,57,4,1
654225.648921626,7556876.9785437975,1346.8536017285155,248,57,4,1
654202.7184625877,7556874.599258533,1350.2892682558593,248,57,4,1
654179.8759371263,7556871.804042682,1354.232986438802,248,57,4,1
654157.3173663685,7556868.707674747,1359.422699408203,248,57,4,1
654134.5502117551,7556865.355514248,1364.1331076546226,248,57,4,1
654111.7226823183,7556861.784539677,1369.4378932903646,248,57,4,1
654088.9186977778,7556858.112173844,1373.4001913494142,248,57,4,1
654066.2728824604,7556854.018737209,1377.1795004731446,248,57,4,1
654043.7954423068,7556849.392443122,1380.5945342314453,248,57,4,1
654021.3843419148,7556844.592407874,1383.2309814121095,248,57,4,1
653999.157118508,7556839.70059128,1385.2527453798828,248,57,4,1
653977.0264413711,7556834.889673542,1387.4440675019532,248,57,4,1
653954.9813012035,7556830.168365579,1389.4267941914059,248,57,4,1
653933.1317385201,7556825.393416791,1391.6725689570312,248,57,4,1
653911.2108807963,7556820.464562234,1393.7505298779295,248,57,4,1
653889.0890409088,7556815.327196314,1395.6830639746095,248,57,4,1
653867.0573364461,7556810.260965412,1397.9285374609376,248,57,4,1
653844.6459956601,7556805.106644537,1400.0011004091793,248,57,4,1
653822.0201436013,7556799.677456412,1402.5088121904296,248,57,4,1
653799.1270598515,7556794.035809288,1404.5715422050782,248,57,4,1
653776.2351890681,7556787.963680662,1407.2918277845056,248,57,4,1
653753.4815139557,7556780.926115213,1409.723363686849,248,57,4,1
653731.2074777264,7556771.894709341,1411.8299058076173,248,57,4,1
653709.452034594,7556759.69186735,1414.0630593795572,248,57,4,1
653688.8519628139,7556744.37439805,1416.3106580810547,248,57,4,1
653670.0671171626,7556725.438644019,1418.8651937080078,248,57,4,1
653654.1371924265,7556702.815675778,1421.0507527749025,248,57,4,1
653641.437135115,7556677.08037228,1422.2055027333984,248,57,4,1
653632.6716231868,7556648.677541247,1422.506982880078,248,57,4,1
653628.2656476024,7556617.932205499,1420.2053606500654,248,57,4,1
653628.091418314,7556585.754443515,1417.4079555403644,248,57,4,1
653631.9122564871,7556552.710656939,1416.1636907109375,248,57,4,1
653639.5927341214,7556519.429576223,1413.8773564836774,248,57,4,1
653650.9244531961,7556486.882004669,1405.9383910460567,248,57,4,1
654379.661882628,7556635.595364616,1326.6247557353515,248,57,4,1
654357.6291827513,7556629.94431929,1330.920852771875,248,57,4,1
654335.9754135192,7556624.391167304,1335.2426685423175,248,57,4,1
654314.2523455154,7556618.534367946,1339.473097601888,248,57,4,1
654292.7680221326,7556612.429883129,1345.2575377734374,248,57,4,1
654271.3992144845,7556606.323161706,1350.7680518421225,248,57,4,1
654250.360408784,7556600.255172595,1356.133107460612,248,57,4,1
654229.3753692112,7556594.106316647,1359.7803980520832,248,57,4,1
654208.0615140216,7556588.012804314,1363.7664941625978,248,57,4,1
654186.9023473322,7556582.022411631,1367.0953022807616,248,57,4,1
654165.7903441023,7556576.119316611,1368.8547395205078,248,57,4,1
654144.5817561471,7556570.191867141,1369.3721575625,248,57,4,1
654123.2643145804,7556564.211252751,1371.1417221694335,248,57,4,1
654102.5302553801,7556557.778853618,1372.5450723460287,248,57,4,1
654081.7218623796,7556550.892675469,1374.1094186680666,248,57,4,1
654060.3397311093,7556544.178262258,1374.7935784208985,248,57,4,1
654038.4602579346,7556537.761980024,1374.8226516629466,248,57,4,1
654016.1994944382,7556531.575856341,1374.3194475146483,248,57,4,1
653993.7980584657,7556525.400232809,1374.380357388672,248,57,4,1
653971.3917896262,7556519.187060253,1375.2792128959961,248,57,4,1
653948.6747316225,7556512.78688795,1375.9327175354815,248,57,4,1
653926.0056061598,7556506.0526786065,1376.7707514853516,248,57,4,1
653903.2075322146,7556499.133016109,1377.5083444165039,248,57,4,1
653880.412868693,7556491.979660426,1378.1075401718754,248,57,4,1
653857.7010466089,7556485.018762153,1378.7594221655274,248,57,4,1
653834.9804342757,7556478.319751965,1379.3334762524414,248,57,4,1
653812.142556037,7556471.707585081,1379.7172048748043,248,57,4,1
653789.8828402238,7556464.6713785585,1379.4317015335287,248,57,4,1
653768.2754268561,7556456.147998794,1379.8134952298176,248,57,4,1
653746.6597734301,7556446.182170291,1380.1615432382812,248,57,4,1
653725.1520167647,7556434.76211175,1380.8745625680988,248,57,4,1
653704.6212025101,7556420.87228041,1381.8687666276041,248,57,4,1
653685.876518885,7556403.73698303,1383.5552768261718,248,57,4,1
654055.4184448279,7556416.991495747,1349.4132490126954,248,57,4,1
654035.2741543576,7556411.672052736,1351.881870548828,248,57,4,1
654015.1629317512,7556406.616974482,1354.110699661133,248,57,4,1
653995.1632177321,7556401.568745105,1357.0437109935547,248,57,4,1
653975.0270260391,7556396.57804252,1360.6233625574216,248,57,4,1
653954.7894800146,7556391.759348232,1364.4784613625,248,57,4,1
653934.5257495753,7556387.201466379,1367.770065513086,248,57,4,1
653914.1441987632,7556382.97381655,1370.41294521875,248,57,4,1
653893.5735534839,7556379.156414998,1372.0418378408206,248,57,4,1
653873.001740255,7556375.357836784,1374.0937492197265,248,57,4,1
653852.5651667435,7556371.520705098,1376.1118244091795,248,57,4,1
653832.6957614208,7556367.736438045,1377.8412833798827,248,57,4,1
653813.9546461317,7556363.692138747,1379.027439663737,248,57,4,1
653796.3694739342,7556359.042959357,1380.6008653296874,248,57,4,1
653779.5640161943,7556352.942259353,1378.8274488368695,248,57,4,1
653764.2922786314,7556344.83582534,1377.5467684481334,248,57,4,1
653751.0582317096,7556333.611323368,1379.5299246438335,248,57,4,1
653740.125210651,7556318.844350782,1380.2298734773294,248,57,4,1
653732.2139777837,7556300.652945561,1380.801632433051,248,57,4,1
653728.0624707851,7556279.746129856,1382.1660406056085,248,57,4,1
654544.37514646,7556488.81122806,1334.3968042006834,248,57,4,1
654524.6782388097,7556481.192306803,1339.9331190725914,248,57,4,1
654504.6797207596,7556472.7687655175,1345.2433326712242,248,57,4,1
654484.7090031486,7556464.637359598,1349.45408169222,248,57,4,1
654464.8473262341,7556457.018371562,1353.0186380660807,248,57,4,1
654445.2357297476,7556449.836005107,1356.1029605032554,248,57,4,1
654425.9719716064,7556442.3375783125,1359.6043721337892,248,57,4,1
