Easting,Northing,glacier,r,g,b,Name
654587.8341183836,7556692.90186514,1362.6705322265625,56,57,255,1
654564.0446365855,7556686.047534763,1365.4947509765625,56,57,255,1
654540.6056819775,7556679.064703552,1369.066162109375,56,57,255,1
654517.2964057481,7556672.192909578,1372.7537841796875,56,57,255,1
654494.0861079494,7556665.4771265015,1375.6463623046875,56,57,255,1
654470.7184064615,7556659.107951709,1379.3441162109375,56,57,255,1
654447.6051397768,7556653.044610018,1382.9215087890625,56,57,255,1
654424.7034424989,7556647.0691301385,1385.86669921875,56,57,255,1
654402.0040997146,7556641.218391539,1389.4140625,56,57,255,1
654379.661882628,7556635.595364616,1392.2247314453125,56,57,255,1
654357.6291827513,7556629.94431929,1395.716552734375,56,57,255,1
654335.9754135192,7556624.391167304,1398.5458984375,56,57,255,1
654314.2523455154,7556618.534367946,1401.2091064453125,56,57,255,1
654292.7680221326,7556612.429883129,1404.679443359375,56,57,255,1
654271.3992144845,7556606.323161706,1407.0970458984375,56,57,255,1
654250.360408784,7556600.255172595,1409.725341796875,56,57,255,1
654229.3753692112,7556594.106316647,1412.1031494140625,56,57,255,1
654208.0615140216,7556588.012804314,1415.268310546875,56,57,255,1
654186.9023473322,7556582.022411631,1417.6173095703125,56,57,255,1
654165.7903441023,7556576.119316611,1419.906005859375,56,57,255,1
654144.5817561471,7556570.191867141,1422.0269775390625,56,57,255,1
654123.2643145804,7556564.211252751,1424.6685791015625,56,57,255,1
654102.5302553801,7556557.778853618,1426.6597900390625,56,57,255,1
654081.7218623796,7556550.892675469,1428.6785888671875,56,57,255,1
654060.3397311093,7556544.178262258,1430.5478515625,56,57,255,1
654038.4602579346,7556537.761980024,1432.818115234375,56,57,255,1
654016.1994944382,7556531.575856341,1434.5625,56,57,255,1
653993.7980584657,7556525.400232809,1436.2886962890625,56,57,255,1
653971.3917896262,7556519.187060253,1438.3922119140625,56,57,255,1
653948.6747316225,7556512.78688795,1440.0855712890625,56,57,255,1
653926.0056061598,7556506.0526786065,1441.96337890625,56,57,255,1
653903.2075322146,7556499.133016109,1443.9002685546875,56,57,255,1
653880.412868693,7556491.979660426,1445.5665283203125,56,57,255,1
653857.7010466089,7556485.018762153,1447.2803955078125,56,57,255,1
653834.9804342757,7556478.319751965,1449.046875,56,57,255,1
653812.142556037,7556471.707585081,1450.803466796875,56,57,255,1
653789.8828402238,7556464.6713785585,1452.3245849609375,56,57,255,1
653768.2754268561,7556456.147998794,1454.47119140625,56,57,255,1
653746.6597734301,7556446.182170291,1456.220947265625,56,57,255,1
653725.1520167647,7556434.76211175,1458.028076171875,56,57,255,1
653704.6212025101,7556420.87228041,1460.1126708984375,56,57,255,1
653685.876518885,7556403.73698303,1462.1771240234375,56,57,255,1
653669.6258630658,7556383.220632924,1463.9202880859375,56,57,255,1
653656.5672528497,7556359.645876817,1465.7169189453125,56,57,255,1
653647.8230402654,7556332.911242197,1467.4638671875,56,57,255,1
653644.2496616793,7556303.442502674,1468.193115234375,56,57,255,1
653646.4373228876,7556272.7826476265,1469.130859375,56,57,255,1
653654.2080554632,7556242.681540439,1469.1099853515625,56,57,255,1
653667.0556822715,7556214.7009416325,1468.9888916015625,56,57,255,1
653684.244257646,7556190.089178941,1468.011474609375,56,57,255,1
653705.455517541,7556169.838668841,1467.4835205078125,56,57,255,1
653729.1972335204,7556152.7458030125,1466.91162109375,56,57,255,1
653754.6889424189,7556139.278979904,1466.0853271484375,56,57,255,1
653782.630149649,7556133.769140111,1465.545166015625,56,57,255,1
653811.0578864879,7556135.565040499,1463.2435302734375,56,57,255,1
653839.4737653175,7556141.181306642,1461.1162109375,56,57,255,1
653872.5609696222,7556144.118536731,1458.867431640625,56,57,255,1
653905.1806039683,7556150.127863937,1456.366943359375,56,57,255,1
653938.6702471406,7556157.734932849,1453.7569580078125,56,57,255,1
653973.228961776,7556166.361731136,1450.71337890625,56,57,255,1
654008.2849263379,7556176.264334025,1447.58056640625,56,57,255,1
654044.7040134765,7556186.483297539,1444.164794921875,56,57,255,1
654082.3401151564,7556197.9370331615,1441.1226806640625,56,57,255,1
654121.8610062974,7556208.652248967,1437.7225341796875,56,57,255,1
654161.2306098135,7556221.47544767,1433.951416015625,56,57,255,1
654200.105482685,7556235.131119785,1429.8153076171875,56,57,255,1
654239.4280415818,7556248.027655298,1426.05615234375,56,57,255,1
654280.0054497336,7556261.234319524,1421.645263671875,56,57,255,1
654322.1227388276,7556274.374981497,1416.9052734375,56,57,255,1
654364.935745404,7556286.705976605,1412.551513671875,56,57,255,1
654408.5876566066,7556298.058022249,1407.625,56,57,255,1
654452.5475151541,7556309.288891292,1402.58447265625,56,57,255,1
654497.3783870564,7556318.484578543,1398.926025390625,56,57,255,1
654543.2207151338,7556324.127121405,1396.565673828125,56,57,255,1
654589.332683248,7556327.614075808,1392.42822265625,56,57,255,1
654635.5964875496,7556328.404580218,1389.963623046875,56,57,255,1
654682.1208218443,7556326.4396067215,1390.4993896484375,56,57,255,1
654821.2604180465,7556648.49112568,1335.719970703125,56,57,255,1
654796.091312796,7556639.678496667,1338.3677978515625,56,57,255,1
654770.8997821236,7556631.06143621,1341.1318359375,56,57,255,1
654745.8735293701,7556622.660618798,1344.0335693359375,56,57,255,1
654721.1452810889,7556614.886723162,1347.1072998046875,56,57,255,1
654696.847074374,7556607.232631798,1350.160888671875,56,57,255,1
654672.6380423029,7556599.780812683,1353.495361328125,56,57,255,1
654648.4261999682,7556592.722384866,1357.0269775390625,56,57,255,1
654624.1704982936,7556585.867588188,1359.8424072265625,56,57,255,1
654599.8566696178,7556579.33729082,1363.5396728515625,56,57,255,1
654575.6450394186,7556572.270223871,1367.2906494140625,56,57,255,1
654551.3354150462,7556564.794810679,1370.999267578125,56,57,255,1
654526.8172673557,7556557.410100394,1374.7943115234375,56,57,255,1
654502.4771571788,7556550.204906577,1378.4559326171875,56,57,255,1
654478.1600921571,7556542.963887673,1382.369140625,56,57,255,1
654454.0262422636,7556535.874589742,1385.289794921875,56,57,255,1
654429.9529881955,7556528.6487088185,1389.11572265625,56,57,255,1
654406.1586579217,7556521.496009027,1392.72607421875,56,57,255,1
654382.5876627336,7556514.235227807,1396.131103515625,56,57,255,1
654359.1647396608,7556506.721362034,1399.0279541015625,56,57,255,1
654336.0803781612,7556499.452825123,1402.2515869140625,56,57,255,1
654313.16898185,7556492.157435902,1405.730712890625,56,57,255,1
654290.4572561524,7556485.089640862,1408.223876953125,56,57,255,1
654267.8879264456,7556478.096158171,1411.384521484375,56,57,255,1
654245.4471147875,7556471.466469431,1413.7969970703125,56,57,255,1
654223.2452170631,7556464.935606615,1416.6650390625,56,57,255,1
654201.3558312337,7556458.6765651675,1419.028564453125,56,57,255,1
654179.8422890173,7556452.683753828,1421.29150390625,56,57,255,1
654158.617914808,7556446.652300786,1423.4085693359375,56,57,255,1
654137.6192737428,7556440.531578498,1425.9486083984375,56,57,255,1
654116.7241506595,7556434.492147171,1427.95263671875,56,57,255,1
654096.0893163125,7556428.487257951,1430.1080322265625,56,57,255,1
654075.6464185747,7556422.606418015,1432.0968017578125,56,57,255,1
654055.4184448279,7556416.991495747,1433.8011474609375,56,57,255,1
654035.2741543576,7556411.672052736,1435.7574462890625,56,57,255,1
654015.1629317512,7556406.616974482,1437.456787109375,56,57,255,1
653995.1632177321,7556401.568745105,1439.21435546875,56,57,255,1
653975.0270260391,7556396.57804252,1440.8629150390625,56,57,255,1
653954.7894800146,7556391.759348232,1442.77587890625,56,57,255,1
653934.5257495753,7556387.201466379,1444.17138671875,56,57,255,1
653914.1441987632,7556382.97381655,1445.8074951171875,56,57,255,1
653893.5735534839,7556379.156414998,1447.2908935546875,56,57,255,1
653873.001740255,7556375.357836784,1449.1971435546875,56,57,255,1
653852.5651667435,7556371.520705098,1450.8145751953125,56,57,255,1
653832.6957614208,7556367.736438045,1452.3382568359375,56,57,255,1
653813.9546461317,7556363.692138747,1453.54541015625,56,57,255,1
653796.3694739342,7556359.042959357,1454.8895263671875,56,57,255,1
653779.5640161943,7556352.942259353,1456.2418212890625,56,57,255,1
653764.2922786314,7556344.83582534,1457.494384765625,56,57,255,1
653751.0582317096,7556333.611323368,1459.1204833984375,56,57,255,1
653740.125210651,7556318.844350782,1460.184326171875,56,57,255,1
653732.2139777837,7556300.652945561,1461.5098876953125,56,57,255,1
653728.0624707851,7556279.746129856,1462.55908203125,56,57,255,1
653728.9765987482,7556257.166606185,1462.7982177734375,56,57,255,1
653735.8809892298,7556234.130921893,1462.9410400390625,56,57,255,1
653749.3981994812,7556212.109176586,1462.5159912109375,56,57,255,1
653768.9615930978,7556192.210018285,1461.7396240234375,56,57,255,1
653794.0776785981,7556175.780626186,1461.1302490234375,56,57,255,1
653823.6650891621,7556162.821934536,1460.2762451171875,56,57,255,1
653856.9176999035,7556153.529313573,1459.2110595703125,56,57,255,1
653893.1227649123,7556148.29095934,1457.6951904296875,56,57,255,1
653931.8131087094,7556147.425521242,1455.5557861328125,56,57,255,1
653972.1953209734,7556150.913625781,1452.590087890625,56,57,255,1
654013.6461289523,7556158.699289815,1449.553955078125,56,57,255,1
654055.6392686217,7556169.692788278,1445.4830322265625,56,57,255,1
654899.561006936,7556608.655060003,1329.391845703125,56,57,255,1
654873.7354683621,7556602.368066441,1331.004638671875,56,57,255,1
654848.5912518429,7556596.038138037,1333.3902587890625,56,57,255,1
654824.1055368113,7556589.289290093,1335.8961181640625,56,57,255,1
654800.4327457183,7556581.47526418,1338.77587890625,56,57,255,1
654777.3543203914,7556573.435077388,1341.8800048828125,56,57,255,1
654754.7875996418,7556565.379120011,1344.36962890625,56,57,255,1
654732.4081221254,7556557.465753173,1347.7042236328125,56,57,255,1
654710.2342193322,7556549.564986632,1350.1988525390625,56,57,255,1
654688.5911587963,7556541.911784598,1352.9151611328125,56,57,255,1
654667.1173588397,7556534.4094420625,1356.146484375,56,57,255,1
654645.9300210647,7556526.971351784,1358.9183349609375,56,57,255,1
654625.1393353192,7556519.220203208,1361.8763427734375,56,57,255,1
654604.7120322632,7556511.359997042,1364.8328857421875,56,57,255,1
654584.4284664139,7556503.667824506,1367.802734375,56,57,255,1
654564.2984584824,7556496.387747603,1370.771728515625,56,57,255,1
