time,Easting,Northing,Altitude,mark,glacier,fuffens
2012-04-16 09:18:27,655234.7514780266,7556519.935463055,1309.2550988607545,1272.310352697229,,
2012-04-16 09:18:35,655055.0591252898,7556591.311247878,1309.7550988607545,1268.4688671862036,,
2012-04-16 09:18:37,655022.2337313206,7556592.904687492,1310.1550988607546,1265.5866771022195,,
2012-04-16 09:18:51,654748.7286032245,7556601.658309979,1380.2030361679394,1331.3245725358674,1343.5543212890625,
2012-04-16 09:18:53,654702.5263411357,7556596.639889216,1384.6279074771094,1329.991671972723,1349.6260986328125,
2012-04-16 09:18:55,654653.5787035171,7556591.45696441,1389.1769228549902,1328.500593906175,1355.714111328125,
2012-04-16 09:18:57,654603.7105255666,7556587.0016470775,1394.6855962093457,1327.946681448385,1362.6898193359375,1346.180416457158
2012-04-16 09:18:59,654554.4862659022,7556582.250881422,1400.9079559288673,1328.7015184811994,1369.8502197265625,1353.2065407022865
2012-04-16 09:19:01,654505.9890982822,7556577.209635925,1407.221135960918,1329.8354917364932,1377.1014404296875,1360.0775357100388
2012-04-16 09:19:03,654458.2041966103,7556571.4300733255,1414.300930749922,1332.1407999323744,1384.1763916015625,1365.9131860892364
2012-04-16 09:19:05,654411.1558969223,7556566.589512786,1421.031522498086,1334.3584077686787,1390.43212890625,1369.4236737378299
2012-04-16 09:19:07,654363.7398151761,7556561.615988408,1427.8592066659767,1335.097751971603,1396.785400390625,1372.0041927619598
2012-04-16 09:19:09,654316.1022546871,7556556.8534907205,1434.67849957959,1335.5585090405616,1403.10107421875,1371.655563894955
2012-04-16 09:19:11,654268.2647588614,7556552.638502727,1439.810937590664,1330.858107979919,1409.16748046875,1367.51013656942
2012-04-16 09:19:13,654220.3855727087,7556548.421909011,1444.5750276099022,,1414.6318359375,1365.0245130129008
2012-04-16 09:19:15,654172.5545705324,7556544.097382264,1450.420096048877,,1419.9163818359375,1367.2879438328928
2012-04-16 09:19:17,654123.6256101795,7556538.590602766,1455.3728157772266,,1424.7286376953125,1372.951173351869
2012-04-16 09:19:19,654073.5087503761,7556532.007967028,1459.9907945081445,,1429.388427734375,1381.0749355203086
2012-04-16 09:19:21,654022.4765954589,7556525.371424736,1464.401354478125,,1434.270751953125,1385.640786233423
2012-04-16 09:19:23,653969.8451286771,7556519.645542314,1468.0915302264648,,1438.3922119140625,1388.9545059904062
2012-04-16 09:19:25,653916.5079330986,7556514.548798862,1472.9300807599218,,1442.411865234375,1392.3648371038162
2012-04-16 09:19:27,653863.10075111,7556509.225530582,1478.0745521653516,,1446.482666015625,1393.3254816322008
2012-04-16 09:19:31,653755.1924759743,7556502.203758935,1489.8470285404394,,1454.0899658203125,1392.658644572155
2012-04-16 09:19:33,653703.3001816181,7556504.348328578,1496.6769480898438,,1458.343505859375,1392.8498245495705
2012-04-16 09:19:35,653653.2431564071,7556508.614777266,1503.8250608380274,,1463.3662109375,1394.2299581482223
2012-04-16 09:19:37,653603.7037573811,7556514.700727503,1510.0599405829491,,1468.5185546875,
2012-04-16 09:19:39,653556.0147977286,7556523.356181727,1517.6897986885547,,1475.8504638671875,
2012-04-16 09:19:41,653508.4193928896,7556533.247046206,1524.399932076621,,1484.4393310546875,
2012-04-16 09:19:43,653462.909207561,7556545.27439784,1530.936935521211,,1493.6737060546875,1464.6173164734657
2012-04-16 09:19:47,653373.4775066924,7556569.314585681,1545.377946207705,,1512.1063232421875,1508.6481078512759
2012-04-16 09:19:49,653331.2746493786,7556581.2065440295,1551.6049176015526,,1519.3890380859375,1519.7747879769177
2012-04-16 09:19:57,653173.9984411676,7556625.111900533,1570.3539054422265,,1539.6165771484375,1504.1618121289778
2012-04-16 09:19:59,653137.4277986407,7556637.789768792,1574.1286409874706,,1543.8858642578125,1505.2967310165536
2012-04-16 09:20:01,653097.030936345,7556650.240003109,1578.0065371899707,,1548.2470703125,1507.1076823187593
2012-04-16 09:20:05,653012.4527719037,7556679.832543981,1586.6434939934766,,1557.3238525390625,1513.037693557278
2012-04-16 09:20:07,652969.5743080237,7556696.829131511,1590.631056735957,,1561.3416748046875,1516.367263645924
2012-04-16 09:20:09,652928.4722691269,7556716.9486806365,1595.6045739125782,,1566.0408935546875,1521.9721973609016
2012-04-16 09:20:11,652888.7790475674,7556740.057489396,1599.1450215980763,,1569.33447265625,1527.4197952516997
2012-04-16 09:20:13,652849.5451989385,7556761.071497406,1603.2594079153027,,1573.174560546875,1533.7542572547436
2012-04-16 09:20:17,652772.5494855831,7556800.842608596,1611.2632963524218,,1580.6612548828125,1543.3065170153773
2012-04-16 09:20:19,652733.7657735297,7556818.533398334,1614.4090093989257,,1583.697265625,1546.863289442203
2012-04-16 09:20:21,652695.0780177903,7556838.1297009075,1617.8209549851758,,1587.03857421875,1550.2751752445402
2012-04-16 09:20:23,652654.3917802016,7556854.144373162,1621.5988428165333,,1590.7623291015625,1554.0530172602512
2012-04-16 09:20:25,652613.9206446187,7556870.060717749,1624.764111408252,,1594.0968017578125,1558.6260928232548
2012-04-16 09:20:27,652573.8697271908,7556887.343283986,1627.2693714765137,,1596.771728515625,1563.1885720213124
2012-04-16 09:20:31,652494.9586086492,7556920.86369005,1633.512659899121,,1603.474609375,1577.232243965796
2012-04-16 09:20:33,652455.745817252,7556937.415721246,1635.4856968860547,,1606.01416015625,1583.9944242844774
2012-04-16 09:20:35,652415.5638013347,7556954.13421774,1637.5830437552538,,1608.740966796875,1590.8952586225494
2012-04-16 09:20:37,652375.9929430734,7556971.113017397,1639.4014445796095,,1611.0849609375,1596.9628862530828
