time,Easting,Northing,Altitude,mark,glacier,fuffens,Name
2017-04-07 13:12:10,655094.6689637671,7556851.9991613375,1322.6776629264937,1310.4403581218062,,,erik1
2017-04-07 13:12:11,655094.9761349985,7556851.605650627,1324.1176629264935,1311.113991012431,,,erik1
2017-04-07 13:12:12,655095.4946856959,7556851.477771921,1325.5576629264935,1311.5960027995404,,,erik1
2017-04-07 13:12:13,655096.0975250069,7556851.69212508,1328.4376629264937,1313.7096554655561,,,erik1
2017-04-07 13:12:14,655096.3843251865,7556852.2151542,1328.4376629264937,1312.9432488932905,,,erik1
2017-04-07 13:12:15,655096.5363348982,7556852.421000654,1328.4376629264937,1311.9852998014937,,,erik1
2017-04-07 13:12:16,655096.247111919,7556853.096536295,1327.9576629264936,1310.5472916569624,,,erik1
2017-04-07 13:12:17,655095.3998494399,7556853.279483998,1328.4376629264937,1310.2609442936812,,,erik1
2017-04-07 13:12:18,655093.308366817,7556853.555840074,1328.4376629264937,1309.494537164775,,,erik1
2017-04-07 13:12:19,655090.5667637956,7556853.184210092,1333.7276629264936,1313.888053512431,,,erik1
2017-04-07 13:12:20,655086.533012477,7556853.062301181,1335.6476629264937,1314.9310516276655,,,erik1
2017-04-07 13:12:21,655081.2211392984,7556852.6103592105,1336.6076629264935,1315.189450592509,,,erik1
2017-04-07 13:12:22,655074.9446871344,7556851.734919478,1337.5776629264935,1315.4577902897747,,,erik1
2017-04-07 13:12:23,655067.6607265035,7556850.161841076,1339.0176629264936,1316.1961881120405,,,erik1
2017-04-07 13:12:24,655059.0224609021,7556848.535095689,1339.4976629264936,1315.799186227275,,,erik1
2017-04-07 13:12:25,655049.3423087997,7556846.779901353,1342.8576629264935,1318.2821843229779,,,erik1
2017-04-07 13:12:26,655038.6916716419,7556844.872493006,1343.3376629264935,1318.0605832878216,,,erik1
2017-04-07 13:12:27,655027.5272325113,7556842.840467841,1342.3776629264935,1316.349616168681,,,erik1
2017-04-07 13:12:28,655015.5216367885,7556840.542307852,1343.3376629264935,1316.1428969694623,,,erik1
2017-04-07 13:12:29,655002.8480949713,7556837.716904265,1344.7876629264936,1316.1799673796186,,,erik1
2017-04-07 13:12:30,654989.0132301461,7556834.596711497,1348.1476629264937,1318.3625264128218,,,erik1
2017-04-07 13:12:31,654973.9875374374,7556831.554547242,1350.5476629264936,1319.5850847233685,,,erik1
2017-04-07 13:12:32,654958.0489092225,7556828.391825623,1351.5176629264936,1319.1421349968061,,,erik1
2017-04-07 13:12:33,654941.314633524,7556825.078190433,1354.8776629264935,1321.087623668681,,,erik1
2017-04-07 13:12:34,654924.0937611026,7556821.304506652,1356.7976629264936,1321.4352799382123,,,erik1
2017-04-07 13:12:35,654906.2147656758,7556817.303947247,1358.2376629264936,1320.9532873991498,,,erik1
2017-04-07 13:12:36,654887.8889365762,7556813.285924016,1358.7276629264936,1319.5213548014935,,,erik1
2017-04-07 13:12:37,654869.3992108027,7556809.258138278,1359.6876629264937,1318.5593773210248,,,erik1
2017-04-07 13:12:38,654850.8095874611,7556804.971624938,1362.0876629264935,1319.037428903056,,,erik1
2017-04-07 13:12:39,654831.7669529363,7556800.189682804,1364.9676629264936,1318.6442429997358,,,erik1
2017-04-07 13:12:40,654812.3830781933,7556795.031448564,1367.8576629264935,1316.5313392595012,,,erik1
2017-04-07 13:12:41,654792.324844376,7556789.682873819,1371.2176629264936,1313.904197123937,,,erik1
2017-04-07 13:12:42,654771.8925134841,7556784.096512236,1376.5076629264936,1312.2328227382834,,,erik1
2017-04-07 13:12:43,654751.1915508336,7556778.437952113,1387.0951010742187,1324.8671578774415,1337.0606689453125,,erik1
2017-04-07 13:12:44,654730.5168243373,7556773.155733417,1389.60875,1323.4024165468752,1339.91064453125,,erik1
2017-04-07 13:12:45,654709.7804035423,7556768.431856207,1392.2072377929687,1322.5647653016492,1342.845458984375,,erik1
2017-04-07 13:12:46,654689.0715802527,7556763.887750225,1394.448789736328,1321.7491018759765,1345.42333984375,,erik1
2017-04-07 13:12:47,654668.2418043023,7556759.3178044725,1397.7428900683594,1321.9885815129123,1349.0537109375,,erik1
2017-04-07 13:12:48,654647.3137911159,7556754.751478232,1400.4499967578124,1321.6045821289063,1352.0130615234375,,erik1
2017-04-07 13:12:49,654626.6650355443,7556749.555960141,1403.1146185546875,1321.3561606003418,1354.929931640625,,erik1
2017-04-07 13:12:50,654606.3331937459,7556743.686709427,1405.8688680664063,1321.2335037992623,1358.0205078125,,erik1
2017-04-07 13:12:51,654586.0886391681,7556737.6449444685,1408.4699170800782,1320.7800316266275,1360.9578857421875,,erik1
2017-04-07 13:12:52,654566.0259420951,7556731.370806128,1410.923993466797,1320.1795491066623,1363.748291015625,,erik1
2017-04-07 13:12:53,654546.2198784056,7556724.784504453,1413.5239461035155,1319.7205515480684,1366.6845703125,,erik1
2017-04-07 13:12:54,654526.0443191706,7556718.522634702,1416.3506916308593,1319.2989865642578,1369.83349609375,,erik1
2017-04-07 13:12:55,654505.7637846607,7556712.666660563,1419.053795673828,1318.6618455843097,1372.6466064453125,,erik1
2017-04-07 13:12:56,654485.5208912566,7556707.346901337,1422.0081015234375,1318.423847514757,1375.6409912109375,,erik1
2017-04-07 13:12:57,654465.4672525253,7556702.544398788,1424.8223287792969,1317.86752893125,1378.4952392578125,,erik1
2017-04-07 13:12:58,654445.4978117025,7556698.028068762,1427.6119078027343,1317.2923164697265,1381.3382568359375,,erik1
2017-04-07 13:12:59,654425.4587743534,7556694.144507794,1430.2706297070313,1316.5862141560547,1384.0504150390625,,erik1
