time,Easting,Northing,Altitude,mark,glacier,fuffens
2017-04-07 13:26:07,655007.4722702731,7556310.282121756,1390.0760526929118,1351.4878782495525,,
2017-04-07 13:26:08,654990.5818326428,7556318.777494966,1388.156052692912,1348.7339727905683,,
2017-04-07 13:26:09,654974.9337030804,7556329.014893184,1388.156052692912,1348.7105347339277,,
2017-04-07 13:26:10,654960.914833043,7556340.671139509,1388.156052692912,1348.9452034643964,,
2017-04-07 13:26:11,654948.8988452523,7556354.049700314,1388.636052692912,1349.726844675334,,
2017-04-07 13:26:12,654939.0867285746,7556369.125200659,1388.636052692912,1350.3162377417402,,
2017-04-07 13:26:13,654931.3239300703,7556385.6167276595,1388.636052692912,1351.716453112834,,
2017-04-07 13:26:14,654925.0810211846,7556403.192639071,1388.636052692912,1357.8462710486249,,
2017-04-07 13:26:15,654919.8197033339,7556421.436489413,1379.986052692912,1354.9787675171308,,
2017-04-07 13:26:16,654915.006059126,7556440.091314726,1378.5460526929119,1352.6097522397868,,
2017-04-07 13:26:17,654910.186248965,7556459.429412403,1376.616052692912,1348.0810720044356,,
2017-04-07 13:26:18,654905.09451867,7556479.041425762,1374.696052692912,1343.5311858569744,,
2017-04-07 13:26:19,654899.8769741855,7556499.057907347,1372.776052692912,1339.275603337443,,
2017-04-07 13:26:20,654894.7067091895,7556519.451847135,1371.3360526929118,1336.4340604468182,,
2017-04-07 13:26:21,654889.3818478698,7556540.0893188175,1369.886052692912,1333.633435583537,,
2017-04-07 13:26:22,654883.6828739995,7556560.722957756,1368.446052692912,1331.0678976050212,,
2017-04-07 13:26:23,654877.4836073816,7556581.298341664,1368.926052692912,1330.7780935913495,,
2017-04-07 13:26:24,654870.849619163,7556602.062904733,1367.966052692912,1329.2795596655683,,
2017-04-07 13:26:25,654864.0133842343,7556623.049406468,1368.446052692912,1329.2210816089275,,
2017-04-07 13:26:26,654857.1487755587,7556644.333884289,1367.486052692912,1328.7782018140056,,
2017-04-07 13:26:27,654850.3164136754,7556665.723331112,1367.006052692912,1330.254787759318,,
2017-04-07 13:26:28,654843.5400372411,7556687.172353195,1367.006052692912,1332.2698410913495,,
2017-04-07 13:26:29,654836.9883148221,7556709.075083758,1367.966052692912,1332.3839237866619,,
2017-04-07 13:26:30,654830.5944587395,7556731.146544128,1367.486052692912,1330.1466577808026,,
2017-04-07 13:26:31,654824.5820303813,7556753.334674056,1367.486052692912,1328.6174197632245,,
2017-04-07 13:26:32,654818.9857797463,7556775.295043984,1367.006052692912,1327.807302458537,,
2017-04-07 13:26:33,654813.3320291883,7556797.223854364,1367.006052692912,1327.479178864787,,
2017-04-07 13:26:34,654807.4182328223,7556819.230654167,1368.446052692912,1327.803494646037,,
2017-04-07 13:26:35,654800.9124332694,7556841.482708504,1367.966052692912,1325.9523613452557,,
2017-04-07 13:26:36,654793.8829176893,7556863.543998521,1368.926052692912,1326.3401731421307,,
2017-04-07 13:26:37,654785.5965147292,7556885.098741062,1368.926052692912,1325.9163662183025,,
2017-04-07 13:26:38,654775.8155525336,7556905.214867763,1368.926052692912,1325.8823200561933,,
2017-04-07 13:26:39,654764.6778332582,7556922.767539244,1368.926052692912,1326.184372536662,,
2017-04-07 13:26:40,654751.8034980014,7556937.790087643,1368.926052692912,1326.2735336499431,,
2017-04-07 13:26:41,654737.0825812662,7556949.610977956,1368.926052692912,1325.3659054175214,,
2017-04-07 13:26:42,654720.7064559874,7556957.20228811,1368.926052692912,1324.5646938061932,,
2017-04-07 13:26:43,654703.0433329911,7556959.097229951,1380.466052692912,1335.103182302287,,
2017-04-07 13:26:44,654685.9923814124,7556956.00024538,1381.906052692912,1335.1466588843182,,
2017-04-07 13:26:45,654670.5910908992,7556948.807302544,1383.3460526929118,1335.0326942554118,,
2017-04-07 13:26:46,654656.8807784898,7556937.876726907,1385.276052692912,1335.9155367847088,,
2017-04-07 13:26:47,654646.2732215413,7556923.003205767,1385.756052692912,1335.8657580249433,,
2017-04-07 13:26:48,654639.0199719036,7556904.773134011,1392.0468160253906,1360.9122330803675,1344.3270263671875,
2017-04-07 13:26:49,654634.274020982,7556884.877302992,1391.4631601318358,1358.5831977655057,1346.1422119140625,
2017-04-07 13:26:50,654631.1982174694,7556864.145597453,1390.907090609375,1355.408104023799,1348.1573486328125,
2017-04-07 13:26:51,654629.6168522541,7556843.288501608,1389.3701663183595,1351.2528950393746,1349.928466796875,
2017-04-07 13:26:52,654629.0414665759,7556822.34215526,1388.2305708496094,1347.493987800085,1350.9600830078125,
2017-04-07 13:26:53,654628.8098078574,7556801.03255005,1388.242412109375,1344.8854609085606,1352.063232421875,
2017-04-07 13:26:54,654629.0987913718,7556779.5014509875,1388.3243261425782,1342.346798547022,1353.018310546875,
2017-04-07 13:26:55,654629.7779745855,7556757.591165007,1388.8952970898438,1340.2968365766249,1354.0416259765625,
2017-04-07 13:26:56,654630.5592380487,7556735.32179182,1389.8679141308594,1338.4597768491335,1354.8682861328125,
2017-04-07 13:26:57,654631.6172599513,7556713.1627465,1391.0407275683594,1336.4550378488998,1355.8951416015625,
2017-04-07 13:26:58,654632.353170661,7556690.60033219,1391.8060633984376,1334.5792488014908,1356.551025390625,
2017-04-07 13:26:59,654632.995259269,7556667.620219843,1392.7727255175782,1333.6885137352147,1357.408203125,
2017-04-07 13:27:00,654633.4404091246,7556644.656348049,1393.8724904101562,1333.1235767719274,1357.766845703125,
2017-04-07 13:27:01,654633.5113703801,7556621.688669385,1395.25807140625,1333.0235865696336,1357.7452392578125,
