MP100_B,,MP100_A,,MP101_A,,MP101_B,,MP102_A,,MP102_B,,MP104_A,,MP104_B,,MP105-2_A,,MP105-2_B,,MP107_A,,MP107_B,,MP2_A,,MP2_B,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
33.562358918487575,1486.7554931130276,2.6073083140994413,1528.7914844884551,1.7122920021474783,1543.7258243703825,1.1298607383555463,1510.0429490550698,4.267997917596404,1439.7520055680106,1.9438866577422687,1438.5955502061795,0.5665590300977783,1361.7230211229735,0.21365053684166924,1333.3772423950354,1.4831137226971123,1306.0140144355912,1.0194088319088905,1285.678739262606,2.7018381423959,1480.1093261936633,1.5537831827086848,1428.97887847687,0.22511671557117552,1339.8335547694187,-0.49543255320486423,1269.387549420293
42.45065027171631,1484.2802982463409,24.282292706047087,1524.876758850498,17.43793612453055,1540.8084497366315,10.448760959026913,1506.2600074969205,18.793693291685372,1438.5549482624833,11.821359512122626,1432.1804431021724,19.83020913970404,1360.2055384199853,10.94198983465185,1325.5410237031786,20.495014245014318,1306.5664098702503,12.612031101614548,1284.789738771682,24.358074869760458,1471.3939089692099,25.31572071418259,1417.358322177599,13.82993279467405,1352.1120985679217,12.59721070993902,1279.4898100613555
50.78755478605433,1482.8552776550412,44.84644220911832,1521.3151142584968,29.668992664162033,1538.474853028554,21.51495497107453,1500.7333071348341,33.90041648073793,1437.9375187048954,25.766027071248004,1425.4650216215152,38.576465060005376,1360.0221304305846,21.211646340525476,1316.835354566971,39.970619658119745,1307.6991347691335,27.914292497625866,1282.733095844918,42.51554410412746,1465.2931169120925,48.37202446555557,1407.4808493232183,26.153543158930972,1360.0393655097932,22.866456194070565,1286.701105311232
58.568235734844734,1481.4320708362377,61.51863899557554,1518.115619574934,52.3838119520492,1530.615060956596,34.910874038289876,1491.1393512248458,46.68302840993613,1437.9067172303673,40.87275026030056,1419.0373139142916,62.24840476637746,1360.8741360425845,32.866655132795586,1309.288371195486,59.90992996201339,1309.1216752247594,41.82543922127252,1281.5500896928168,64.1605802953004,1458.9018109474932,67.9351609920277,1399.0559460062468,38.98984212244585,1369.416628251127,33.3935933277283,1292.4585363869028
67.46458829916833,1480.704143474369,78.74867158979919,1515.2637646198382,72.1864749209758,1525.6615335578658,55.29596827100886,1478.0548477177504,61.208723784025096,1438.4527433697308,58.30358470920726,1414.056575476381,97.52697292996754,1361.717419238409,42.636691640148456,1306.091780115575,78.92183048433048,1309.3835567519363,55.272881054131176,1280.3677818914543,89.9862166201624,1453.0915327978578,92.40693250467348,1384.8207645396396,50.0281205054643,1378.8029172001925,43.92021467808689,1298.942254820552
75.8095540246012,1481.0263903878872,96.53653999178948,1512.75954939321,94.90129420886296,1521.5766030727677,66.36216228305648,1468.1725378323645,80.38264167782256,1438.69705506542,80.96366949278604,1407.0296390828823,134.6477153897731,1364.8787717569714,51.01021116840275,1303.4761019529371,96.07891144349469,1310.2292594970336,71.96625712250716,1279.1805856349188,110.23398592137437,1447.281254648222,109.19093598848804,1374.3622638702957,64.40661153314568,1386.7198684760833,59.06980173785132,1306.129050363722
82.48423681117242,1481.004625117931,112.10112637380837,1510.6120427575304,114.12152591399808,1515.752458767583,79.75808135027182,1462.643817477456,104.785809906292,1437.4761966204846,103.04272646140123,1399.4230749414437,174.09164432313946,1367.7484466786334,59.38559147877322,1300.5704906766332,114.62710707502367,1314.268520172213,84.94999406457748,1278.8705179067408,138.15132238010528,1441.4709764985864,127.38060676440773,1361.5796519410974,78.52617934470271,1397.5432586421348,73.4503558987289,1311.1408522077018
89.71836764772911,1481.6799530774056,126.55487786695096,1508.8176171678074,139.7485015208449,1508.7612636092572,94.31886294507058,1457.6948350625762,132.09411720957917,1437.7009073778381,124.54075561505283,1392.1084247745111,206.5753177464103,1370.0434888226691,69.1239946901319,1302.3027625290404,135.9575320512821,1317.1415351130306,96.07891144349469,1278.8537574890015,166.75609174762485,1437.6942957013234,144.8674438942744,1349.9590956418263,91.87774582397083,1404.7390803930384,89.11624204084484,1314.6936320444856
94.16976841432893,1482.0148963983986,138.7821228556844,1506.680993167106,167.12277091906753,1500.8974315516543,115.28638844158195,1443.7387046526153,150.10597947344957,1437.0764774851302,143.1336456938867,1384.8007749426981,236.7376654782379,1372.3402754499393,77.9282852785609,1304.905531515739,157.75166191832864,1320.0138517031087,109.06264838556501,1279.1247175757876,193.25096010996276,1437.6942957013234,161.650047311065,1339.7911088799638,106.76995701750826,1412.6534527524336,100.16019404015287,1316.090760055793
100.28742151424308,1481.8202181504566,152.12665170216962,1505.5891021243028,195.0794715810821,1495.6464602098258,137.41877646567718,1427.7489464687033,169.8609251822105,1436.1573334838686,155.33522980812143,1379.25160929304,265.05039578537935,1373.4787252091346,84.87551531383542,1307.509696089026,185.11025047483395,1322.8777880843172,120.65527065527067,1278.2357170848636,215.56522833861163,1437.1132678863598,177.0325837038472,1330.7851777480287,124.74242607298606,1423.4575010447697,112.48689910420404,1319.6603028497975
107.51107277637641,1480.224098353668,164.9117324986696,1503.8001178520688,223.0361722430971,1490.685862836217,161.29845828114776,1410.3058034490746,186.7107318161535,1434.3736480952816,168.69886955228333,1371.9565600644437,305.43774125226264,1374.0282374281765,94.60275383248973,1310.981566623428,203.65844610636282,1323.7213957771971,133.639007597341,1278.5066771716495,246.95333094985926,1434.4986427190238,194.50262002942645,1322.6507883385389,139.3782929668945,1430.6468755044361,125.58727911683377,1318.8682531211907
