time,Easting,Northing,Altitude,mark,glacier,fuffens
2017-04-07 13:12:43,654751.1915508336,7556778.437952113,1387.0951010742187,1346.5063982831916,1337.0606689453125,
2017-04-07 13:12:44,654730.5168243373,7556773.155733417,1389.60875,1344.8962000513611,1339.91064453125,
2017-04-07 13:12:45,654709.7804035423,7556768.431856207,1392.2072377929687,1343.9130919048712,1342.845458984375,
2017-04-07 13:12:46,654689.0715802527,7556763.887750225,1394.448789736328,1342.9519706023043,1345.42333984375,
2017-04-07 13:12:47,654668.2418043023,7556759.3178044725,1397.7428900683594,1343.0460175133226,1349.0537109375,
2017-04-07 13:12:48,654647.3137911159,7556754.751478232,1400.4499967578124,1342.5529259285124,1352.0130615234375,
2017-04-07 13:12:49,654626.6650355443,7556749.555960141,1403.1146185546875,1342.1954102858963,1354.929931640625,
2017-04-07 13:12:50,654606.3331937459,7556743.686709427,1405.8688680664063,1341.9272965835526,1358.0205078125,
2017-04-07 13:12:51,654586.0886391681,7556737.6449444685,1408.4699170800782,1341.3283665340239,1360.9578857421875,
2017-04-07 13:12:52,654566.0259420951,7556731.370806128,1410.923993466797,1340.582426149835,1363.748291015625,
2017-04-07 13:12:53,654546.2198784056,7556724.784504453,1413.5239461035155,1339.977971689977,1366.6845703125,
2017-04-07 13:12:54,654526.0443191706,7556718.522634702,1416.3506916308593,1339.4170679414074,1369.83349609375,
2017-04-07 13:12:55,654505.7637846607,7556712.666660563,1419.053795673828,1338.7323506653663,1372.6466064453125,
2017-04-07 13:12:56,654485.5208912566,7556707.346901337,1422.0081015234375,1338.4770189864978,1375.6409912109375,
2017-04-07 13:12:57,654465.4672525253,7556702.544398788,1424.8223287792969,1337.9033919319804,1378.4952392578125,
2017-04-07 13:12:58,654445.4978117025,7556698.028068762,1427.6119078027343,1337.3050679913692,1381.3382568359375,
2017-04-07 13:12:59,654425.4587743534,7556694.144507794,1430.2706297070313,1336.5758551742395,1384.0504150390625,
2017-04-07 13:13:00,654405.4768686128,7556690.648511651,1433.1413237988281,1336.0587025441998,1386.9744873046875,
2017-04-07 13:13:01,654385.3300605305,7556687.217671881,1435.9341251269532,1335.6419097129249,1389.8160400390625,1346.7513417811756
2017-04-07 13:13:02,654364.9931013867,7556683.457153921,1438.8444416015625,1335.1642222452317,1392.699462890625,1350.9744878453293
2017-04-07 13:13:03,654344.3956227971,7556679.606228872,1441.4951120410155,1334.6052843738803,1395.2967529296875,1354.9177100069369
2017-04-07 13:13:04,654323.7416312866,7556675.705251855,1444.3945266601563,,1398.1544189453125,1358.8722867571425
2017-04-07 13:13:05,654302.9986262312,7556671.770996577,1447.5054338964844,,1401.5723876953125,1362.8801584765224
2017-04-07 13:13:06,654282.3714938962,7556667.712775496,1449.8222024121094,,1404.2830810546875,1366.0940781264553
2017-04-07 13:13:07,654261.7403796086,7556663.720034212,1452.0977088769532,,1406.9525146484375,1369.2602034775412
2017-04-07 13:13:08,654241.1622612652,7556659.543348775,1454.0665770019532,,1409.3153076171875,1371.7671284995442
2017-04-07 13:13:09,654220.547919915,7556655.03689833,1456.3490126757813,,1411.796875,1374.385084985691
2017-04-07 13:13:10,654199.5972108529,7556650.304385399,1458.8892208007812,,1414.3095703125,1377.2606221014748
2017-04-07 13:13:11,654178.3617381302,7556645.302104135,1461.8168174316406,,1417.209716796875,1380.5238796247884
2017-04-07 13:13:12,654156.9336907002,7556639.951322117,1464.1067634863282,,1419.4630126953125,1383.1491443967916
2017-04-07 13:13:13,654135.4063250562,7556634.388729988,1466.3958550195312,,1421.7154541015625,1385.7446153957073
2017-04-07 13:13:14,654113.6899829169,7556628.534049005,1468.5974949414062,,1423.9202880859375,1387.575600585018
2017-04-07 13:13:15,654092.0575285406,7556622.562844749,1470.9214699023437,,1426.3812255859375,1389.4826587704354
2017-04-07 13:13:16,654070.4846908245,7556616.529845611,1472.8791745703124,,1428.4451904296875,1391.0234232178498
2017-04-07 13:13:17,654048.6519154165,7556610.687472364,1474.4636812597655,,1430.135986328125,1392.0868423656177
2017-04-07 13:13:18,654026.7226310014,7556605.11108328,1476.4724861132813,,1432.2864990234375,1393.1219756692926
2017-04-07 13:13:19,654004.6799286589,7556600.024401074,1478.1483787597656,,1434.09619140625,1393.0735217756774
2017-04-07 13:13:20,653982.404035952,7556595.382806671,1480.482195654297,,1436.128662109375,1393.3376445829374
2017-04-07 13:13:21,653960.0159552889,7556590.744046474,1482.3306883007813,,1437.5386962890625,1393.2926671890525
2017-04-07 13:13:22,653937.7775349182,7556585.53384666,1484.721353330078,,1439.4908447265625,1394.1896158670672
2017-04-07 13:13:23,653915.8701930804,7556579.81927579,1486.588700673828,,1440.919677734375,1394.7475572589053
2017-04-07 13:13:24,653894.7227755149,7556574.384547764,1488.447328310547,,1442.2923583984375,1395.1331155121838
2017-04-07 13:13:25,653874.0903532093,7556569.5802052505,1490.7417927832032,,1443.8250732421875,1395.7466593588522
2017-04-07 13:13:26,653854.099046997,7556565.170287442,1493.1335163671874,,1445.208984375,1396.0471456089908
2017-04-07 13:13:27,653834.6033180967,7556560.780866162,1495.522675751953,,1446.59033203125,1396.1709356788172
2017-04-07 13:13:28,653815.3391632349,7556555.328522935,1497.833402705078,,1448.0931396484375,1396.2163988005193
2017-04-07 13:13:29,653796.4040589748,7556547.302043311,1500.4978314648438,,1449.73291015625,1396.42748363031
2017-04-07 13:13:30,653777.9567692985,7556535.56843889,1503.1868609375,,1451.3951416015625,1396.4595194580002
